"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2025","1,692.42","1,742.90","1,749.14","1,633.46","1.62B","-2.26%"
"02/23/2025","1,731.52","1,774.65","1,777.73","1,692.34","2.20B","-2.10%"
"02/16/2025","1,768.75","1,847.42","1,848.74","1,759.23","1.36B","-4.30%"
"02/09/2025","1,848.32","1,849.13","1,863.57","1,810.44","1.74B","0.28%"
"02/02/2025","1,843.18","1,871.86","1,915.48","1,841.47","2.23B","-3.58%"
"01/26/2025","1,911.57","1,857.24","1,941.66","1,857.24","1.90B","0.83%"
"01/19/2025","1,895.77","1,899.83","1,910.06","1,872.00","1.26B","0.80%"
"01/12/2025","1,880.80","1,792.57","1,893.13","1,785.42","1.60B","3.99%"
"01/05/2025","1,808.57","1,875.31","1,877.19","1,793.47","1.32B","-2.34%"
"12/29/2024","1,851.81","1,830.94","1,852.28","1,795.07","687.10M","-1.46%"
"12/22/2024","1,879.21","1,876.32","1,927.89","1,854.85","972.05M","0.45%"
"12/15/2024","1,870.88","1,930.68","1,964.52","1,840.20","2.42B","-2.59%"
"12/08/2024","1,920.70","1,904.89","1,931.44","1,882.13","1.59B","1.40%"
"12/01/2024","1,894.19","1,803.75","1,894.21","1,798.77","1.61B","5.85%"
"11/24/2024","1,789.44","1,770.49","1,790.34","1,764.56","1.14B","2.32%"
"11/17/2024","1,748.90","1,740.39","1,755.55","1,714.25","1.70B","1.58%"
"11/10/2024","1,721.70","1,767.63","1,780.11","1,711.00","2.02B","-1.14%"
"11/03/2024","1,741.51","1,610.88","1,750.98","1,603.70","2.05B","7.62%"
"10/27/2024","1,618.22","1,624.37","1,635.26","1,576.98","2.00B","0.48%"
"10/20/2024","1,610.51","1,590.80","1,625.54","1,544.32","1.62B","0.92%"
"10/13/2024","1,595.78","1,580.31","1,601.97","1,573.36","1.33B","1.22%"
"10/06/2024","1,576.52","1,573.93","1,591.51","1,555.04","1.57B","-0.85%"
"09/29/2024","1,589.97","1,604.04","1,611.14","1,559.71","1.82B","-1.24%"
"09/22/2024","1,609.92","1,586.67","1,624.59","1,585.68","1.72B","1.75%"
"09/15/2024","1,582.22","1,545.66","1,585.06","1,533.46","1.98B","2.29%"
"09/08/2024","1,546.78","1,474.03","1,552.00","1,468.56","1.61B","6.14%"
"09/01/2024","1,457.25","1,496.08","1,504.85","1,457.25","375.14M","-2.86%"
"08/25/2024","1,500.16","1,502.92","1,504.87","1,456.89","356.11M","-0.23%"
"08/18/2024","1,503.57","1,490.42","1,510.99","1,476.24","358.20M","2.10%"
"08/11/2024","1,472.66","1,402.39","1,478.97","1,387.67","333.06M","5.21%"
"08/04/2024","1,399.68","1,329.41","1,406.22","1,328.23","302.16M","-1.01%"
"07/28/2024","1,414.01","1,487.99","1,527.68","1,391.18","596.19M","-4.28%"
"07/21/2024","1,477.22","1,522.83","1,541.26","1,451.84","2.41B","-2.32%"
"07/14/2024","1,512.32","1,559.79","1,573.72","1,506.62","2.04B","-2.68%"
"07/07/2024","1,553.98","1,546.91","1,575.50","1,531.75","2.18B","0.38%"
"06/30/2024","1,548.12","1,496.80","1,548.97","1,493.15","1.66B","3.75%"
"06/23/2024","1,492.14","1,487.84","1,516.16","1,466.52","2.26B","0.46%"
"06/16/2024","1,485.29","1,443.14","1,486.70","1,443.14","1.41B","2.50%"
"06/09/2024","1,449.13","1,441.99","1,472.81","1,436.30","1.59B","0.27%"
"06/02/2024","1,445.29","1,425.94","1,454.83","1,411.67","1.54B","1.53%"
"05/26/2024","1,423.51","1,421.56","1,428.80","1,402.29","1.41B","-0.31%"
"05/19/2024","1,427.98","1,452.49","1,457.52","1,414.04","1.61B","-1.85%"
"05/12/2024","1,454.92","1,462.12","1,463.31","1,445.17","1.61B","-0.05%"
"05/05/2024","1,455.72","1,459.67","1,470.39","1,447.28","1.54B","0.16%"
"04/28/2024","1,453.33","1,458.55","1,467.46","1,411.35","2.25B","1.60%"
"04/21/2024","1,430.49","1,387.03","1,439.69","1,376.78","1.99B","3.50%"
"04/14/2024","1,382.14","1,457.89","1,457.89","1,376.29","1.72B","-4.52%"
"04/07/2024","1,447.58","1,468.54","1,477.54","1,442.35","1.61B","-0.68%"
"03/31/2024","1,457.52","1,486.93","1,490.90","1,443.83","1.85B","-1.88%"
"03/24/2024","1,485.49","1,470.09","1,491.84","1,468.30","1.51B","0.70%"
"03/17/2024","1,475.13","1,448.89","1,493.28","1,439.96","1.60B","2.79%"
"03/10/2024","1,435.10","1,447.75","1,467.53","1,431.14","2.00B","-1.19%"
"03/03/2024","1,452.39","1,484.40","1,490.03","1,443.40","1.84B","-2.59%"
"02/25/2024","1,491.02","1,464.39","1,492.94","1,462.18","1.90B","2.04%"
"02/18/2024","1,461.27","1,425.01","1,467.86","1,415.02","1.41B","1.54%"
"02/11/2024","1,439.11","1,451.48","1,457.38","1,409.54","1.92B","-0.77%"
"02/04/2024","1,450.31","1,413.71","1,452.98","1,394.42","2.15B","1.45%"
"01/28/2024","1,429.55","1,379.68","1,435.43","1,366.09","2.26B","3.77%"
"01/21/2024","1,377.67","1,400.51","1,403.46","1,360.78","2.04B","-1.40%"
"01/14/2024","1,397.23","1,380.91","1,400.17","1,364.42","1.49B","0.52%"
"01/07/2024","1,390.05","1,372.87","1,410.82","1,370.93","1.69B","1.53%"
"12/31/2023","1,369.16","1,414.09","1,414.89","1,362.25","1.58B","-3.45%"
"12/24/2023","1,418.09","1,426.93","1,438.25","1,413.37","1.17B","-0.43%"
"12/17/2023","1,424.21","1,418.90","1,445.23","1,412.69","1.93B","0.51%"
"12/10/2023","1,416.96","1,365.12","1,419.56","1,361.09","2.54B","3.47%"
"12/03/2023","1,369.43","1,343.13","1,372.00","1,338.52","2.01B","1.14%"
"11/26/2023","1,353.94","1,337.09","1,358.89","1,325.75","2.26B","1.48%"
"11/19/2023","1,334.14","1,323.42","1,341.97","1,315.32","1.30B","0.77%"
"11/12/2023","1,323.93","1,273.46","1,336.55","1,267.58","2.21B","3.38%"
"11/05/2023","1,280.59","1,274.01","1,289.14","1,254.67","1.97B","0.92%"
"10/29/2023","1,268.86","1,197.96","1,275.55","1,186.46","2.41B","7.21%"
"10/22/2023","1,183.57","1,190.92","1,218.45","1,162.19","2.33B","-1.07%"
"10/15/2023","1,196.39","1,259.22","1,280.50","1,195.84","1.96B","-4.45%"
"10/08/2023","1,252.16","1,245.15","1,288.59","1,238.08","1.77B","-0.68%"
"10/01/2023","1,260.72","1,257.68","1,277.42","1,230.30","1.96B","-0.26%"
"09/24/2023","1,264.00","1,262.69","1,280.30","1,232.83","2.04B","-0.27%"
"09/17/2023","1,267.40","1,350.85","1,352.24","1,266.02","1.86B","-6.35%"
