"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2025","911.38","914.81","929.51","904.74","773.54M","-0.76%"
"02/23/2025","918.34","903.39","925.44","903.29","1.39B","1.26%"
"02/16/2025","906.95","896.20","907.45","890.35","1.02B","0.94%"
"02/09/2025","898.50","885.67","909.77","881.01","1.01B","1.73%"
"02/02/2025","883.20","863.97","891.82","861.63","1.11B","1.55%"
"01/26/2025","869.70","861.88","878.71","861.88","1.09B","1.92%"
"01/19/2025","853.33","847.08","853.85","842.10","844.68M","0.98%"
"01/12/2025","845.02","833.69","846.15","828.71","1.05B","1.26%"
"01/05/2025","834.54","847.87","851.29","833.24","887.95M","-1.92%"
"12/29/2024","850.85","856.22","858.99","847.31","297.50M","-1.40%"
"12/22/2024","862.90","862.92","868.70","852.13","523.01M","-0.32%"
"12/15/2024","865.68","888.16","893.61","860.14","1.46B","-2.52%"
"12/08/2024","888.06","893.75","899.52","882.25","1.15B","-0.65%"
"12/01/2024","893.89","900.36","902.44","889.52","1.05B","-0.78%"
"11/24/2024","900.88","892.92","902.59","887.42","783.05M","1.50%"
"11/17/2024","887.58","862.59","888.26","860.31","1.09B","3.10%"
"11/10/2024","860.88","869.96","877.41","860.15","1.03B","-1.21%"
"11/03/2024","871.43","862.70","874.43","852.44","1.02B","1.20%"
"10/27/2024","861.13","875.17","876.89","860.37","1.04B","-1.31%"
"10/20/2024","872.55","881.28","883.35","871.65","870.29M","-0.99%"
"10/13/2024","881.31","876.39","891.93","874.44","938.13M","0.62%"
"10/06/2024","875.91","872.20","876.99","862.60","752.83M","0.33%"
"09/29/2024","873.04","890.58","892.65","867.50","877.17M","-1.57%"
"09/22/2024","887.00","885.29","894.75","883.81","857.11M","0.09%"
"09/15/2024","886.21","901.66","903.36","879.56","1.27B","-1.24%"
"09/08/2024","897.32","888.52","898.92","878.73","858.23M","1.11%"
"09/01/2024","887.50","881.94","894.45","881.87","197.48M","0.56%"
"08/25/2024","882.60","877.71","885.72","874.46","224.32M","0.80%"
"08/18/2024","875.63","864.45","880.63","863.07","138.55M","1.60%"
"08/11/2024","861.82","848.01","865.40","842.05","160.47M","1.60%"
"08/04/2024","848.26","846.86","850.76","830.53","152.19M","-0.29%"
"07/28/2024","850.74","840.59","855.85","828.19","243.68M","1.16%"
"07/21/2024","840.98","838.29","845.33","827.57","876.31M","0.55%"
"07/14/2024","836.42","829.43","847.77","823.38","913.60M","0.90%"
"07/07/2024","828.96","828.63","833.77","822.53","892.74M","0.07%"
"06/30/2024","828.34","823.20","828.90","812.52","639.66M","1.03%"
"06/23/2024","819.86","827.24","835.09","817.81","1.22B","-0.66%"
"06/16/2024","825.33","816.20","830.84","813.90","975.79M","0.89%"
"06/09/2024","818.05","828.71","829.21","812.53","865.27M","-1.20%"
"06/02/2024","828.01","821.40","835.77","819.60","953.35M","0.46%"
"05/26/2024","824.23","820.40","824.86","807.65","885.14M","0.10%"
"05/19/2024","823.43","833.38","834.06","821.03","827.86M","-1.32%"
"05/12/2024","834.43","830.22","838.81","820.03","1.03B","0.74%"
"05/05/2024","828.29","811.65","829.07","805.27","781.09M","2.30%"
"04/28/2024","809.66","807.43","811.31","797.22","950.81M","0.39%"
"04/21/2024","806.49","796.80","816.28","792.35","952.56M","1.54%"
"04/14/2024","794.27","787.46","794.64","778.25","890.42M","1.44%"
"04/07/2024","782.99","790.66","796.16","781.84","831.22M","-1.20%"
"03/31/2024","792.47","814.18","815.31","788.52","995.89M","-2.67%"
"03/24/2024","814.23","806.82","816.47","803.17","766.21M","0.93%"
"03/17/2024","806.75","800.81","814.25","800.81","950.07M","0.88%"
"03/10/2024","799.72","796.14","807.99","795.67","1.27B","0.45%"
"03/03/2024","796.14","787.21","803.86","785.92","990.62M","0.92%"
"02/25/2024","788.91","793.87","794.14","783.83","961.81M","-0.54%"
"02/18/2024","793.18","782.95","797.44","781.95","742.67M","2.11%"
"02/11/2024","776.82","775.22","782.14","767.37","861.12M","0.15%"
"02/04/2024","775.65","784.42","786.66","774.25","931.95M","-1.33%"
"01/28/2024","786.09","771.21","789.47","768.69","988.50M","2.13%"
"01/21/2024","769.72","760.32","770.57","758.33","959.23M","0.83%"
"01/14/2024","763.37","771.07","772.05","759.60","637.06M","-1.04%"
"01/07/2024","771.38","763.24","773.03","762.36","830.50M","1.16%"
"12/31/2023","762.55","760.66","773.32","757.72","799.85M","0.03%"
"12/24/2023","762.32","753.19","762.96","753.08","450.11M","1.08%"
"12/17/2023","754.16","752.69","760.37","742.82","833.41M","0.63%"
"12/10/2023","749.43","742.30","761.97","740.67","1.22B","1.58%"
"12/03/2023","737.75","744.61","750.31","736.46","929.85M","-1.24%"
"11/26/2023","747.05","743.17","747.27","732.99","969.76M","0.55%"
"11/19/2023","742.94","731.04","743.58","729.39","528.62M","1.44%"
"11/12/2023","732.38","727.88","743.80","727.86","931.01M","0.57%"
"11/05/2023","728.23","726.49","732.29","721.04","747.63M","0.22%"
"10/29/2023","726.66","707.51","732.61","707.29","993.82M","3.25%"
"10/22/2023","703.80","709.37","721.00","701.73","978.84M","-0.99%"
"10/15/2023","710.82","710.04","724.12","707.16","859.86M","0.71%"
"10/08/2023","705.78","702.72","716.61","696.47","972.04M","0.18%"
"10/01/2023","704.51","726.35","726.75","688.51","1.01B","-3.14%"
"09/24/2023","727.36","741.23","741.67","723.50","824.55M","-2.09%"
"09/17/2023","742.89","759.04","761.03","742.24","774.77M","-1.78%"
"09/10/2023","756.39","755.64","763.80","753.43","1.09B","0.37%"
"09/03/2023","753.62","757.29","759.25","748.41","821.27M","-0.53%"
"08/27/2023","757.65","762.85","770.15","755.08","850.03M","-0.33%"
"08/20/2023","760.16","764.15","766.27","755.46","690.90M","-0.76%"
"08/13/2023","765.98","787.14","788.22","761.14","650.34M","-2.44%"
"08/06/2023","785.16","785.34","792.53","782.10","543.27M","0.30%"
"07/30/2023","782.82","797.46","799.40","782.12","710.71M","-1.90%"
"07/23/2023","797.98","792.88","801.16","790.09","668.09M","0.72%"
"07/16/2023","792.31","776.93","794.59","774.07","721.11M","1.64%"
"07/09/2023","779.52","772.46","780.75","767.01","662.84M","1.20%"
"07/02/2023","770.30","777.13","784.19","770.03","521.19M","-1.09%"
"06/25/2023","778.82","774.00","779.93","766.55","763.80M","0.56%"
"06/18/2023","774.52","778.66","779.97","769.27","627.28M","-0.45%"
"06/11/2023","777.99","764.01","782.24","759.20","844.63M","1.97%"
"06/04/2023","762.95","766.23","771.13","753.97","682.71M","-0.53%"
"05/28/2023","766.99","760.46","767.40","752.70","858.83M","0.28%"
"05/21/2023","764.84","789.80","789.80","756.94","714.65M","-3.21%"
"05/14/2023","790.19","805.67","805.92","785.15","639.11M","-1.68%"
"05/07/2023","803.68","802.17","803.90","792.70","588.11M","-0.01%"
"04/30/2023","803.74","806.85","811.16","794.00","694.73M","-0.43%"
"04/23/2023","807.20","799.89","808.53","794.14","655.44M","1.07%"
"04/16/2023","798.68","787.67","802.85","785.82","552.28M","1.68%"
"04/09/2023","785.47","784.46","791.90","780.04","540.22M","-0.25%"
"04/02/2023","787.45","781.06","789.72","778.24","526.05M","0.91%"
"03/26/2023","780.38","764.80","780.43","764.80","624.58M","2.50%"
"03/19/2023","761.34","753.80","763.71","746.26","695.98M","1.43%"
"03/12/2023","750.63","740.56","756.48","740.56","907.45M","1.28%"
"03/05/2023","741.17","753.87","760.78","738.23","573.61M","-1.92%"
"02/26/2023","755.69","762.23","764.16","740.32","605.26M","-0.41%"
"02/19/2023","758.81","765.69","772.45","753.78","454.01M","-1.40%"
"02/12/2023","769.60","764.99","771.77","755.84","561.14M","0.90%"
"02/05/2023","762.70","766.19","768.41","753.96","583.54M","-0.54%"
"01/29/2023","766.84","761.35","780.35","761.11","676.50M","0.62%"
"01/22/2023","762.14","759.88","768.16","756.07","571.43M","0.43%"
"01/15/2023","758.85","783.43","787.83","748.17","578.27M","-2.86%"
"01/08/2023","781.20","791.53","797.27","775.42","542.05M","-1.46%"
"01/01/2023","792.74","779.97","795.62","768.77","494.19M","1.75%"
"12/25/2022","779.13","788.36","792.56","773.41","305.37M","-0.86%"
"12/18/2022","785.87","778.86","786.80","772.99","483.80M","1.00%"
"12/11/2022","778.10","791.28","806.73","771.71","787.80M","-1.40%"
