"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2025","649.95","693.40","695.72","637.32","607.38M","-5.79%"
"02/23/2025","689.88","690.02","693.03","672.92","806.83M","0.13%"
"02/16/2025","688.97","683.91","704.18","681.36","627.45M","1.06%"
"02/09/2025","681.76","679.90","699.29","670.70","684.22M","1.06%"
"02/02/2025","674.59","666.57","691.30","660.44","668.13M","0.99%"
"01/26/2025","667.95","691.86","694.18","665.77","811.13M","-3.79%"
"01/19/2025","694.23","713.20","714.74","693.33","646.44M","-2.90%"
"01/12/2025","714.95","676.65","717.19","676.65","761.18M","6.14%"
"01/05/2025","673.60","670.22","688.08","663.19","548.97M","0.90%"
"12/29/2024","667.60","660.64","670.02","657.58","245.89M","3.24%"
"12/22/2024","646.67","637.52","653.80","633.63","381.95M","1.21%"
"12/15/2024","638.92","675.12","675.12","631.66","1.09B","-5.58%"
"12/08/2024","676.68","696.25","700.24","674.58","679.07M","-2.09%"
"12/01/2024","691.13","724.38","725.38","689.73","641.13M","-4.55%"
"11/24/2024","724.06","739.54","742.07","719.53","541.07M","-2.00%"
"11/17/2024","738.83","725.79","743.93","722.15","685.72M","2.33%"
"11/10/2024","722.04","718.17","729.84","710.77","692.23M","0.58%"
"11/03/2024","717.87","680.63","722.27","680.53","826.41M","6.16%"
"10/27/2024","676.20","676.26","693.02","674.92","692.04M","-2.13%"
"10/20/2024","690.91","700.84","701.70","686.86","558.87M","-0.63%"
"10/13/2024","695.26","709.55","715.22","690.27","629.18M","-2.64%"
"10/06/2024","714.08","719.74","725.55","695.15","593.43M","-0.54%"
"09/29/2024","717.98","669.92","719.86","666.36","828.61M","7.01%"
"09/22/2024","670.92","677.48","692.33","655.18","782.84M","-0.82%"
"09/15/2024","676.50","657.61","686.22","654.60","835.12M","3.79%"
"09/08/2024","651.79","657.46","668.26","632.86","747.51M","-0.74%"
"09/01/2024","656.67","684.91","684.91","653.84","138.88M","-5.63%"
"08/25/2024","695.86","695.80","701.66","682.32","149.44M","1.02%"
"08/18/2024","688.81","694.49","694.49","675.18","92.33M","-0.50%"
"08/11/2024","692.25","688.02","695.50","681.77","99.49M","0.85%"
"08/04/2024","686.40","666.46","689.32","657.08","113.74M","1.17%"
"07/28/2024","678.47","705.65","718.89","671.28","192.12M","-3.74%"
"07/21/2024","704.80","702.75","708.20","686.27","653.69M","-0.24%"
"07/14/2024","706.51","696.70","724.06","694.64","774.03M","2.02%"
"07/07/2024","692.49","685.16","695.79","676.27","511.90M","0.45%"
"06/30/2024","689.38","700.51","705.98","686.55","395.73M","-1.27%"
"06/23/2024","698.23","682.15","703.58","682.15","731.73M","2.68%"
"06/16/2024","680.02","667.24","688.59","664.73","788.70M","1.86%"
"06/09/2024","667.58","685.07","692.44","665.22","598.43M","-2.32%"
"06/02/2024","683.43","707.50","707.56","673.97","649.82M","-3.48%"
"05/26/2024","708.04","695.84","708.74","685.95","704.59M","2.01%"
"05/19/2024","694.07","722.05","723.20","692.05","534.28M","-3.82%"
"05/12/2024","721.66","718.95","722.83","701.82","563.59M","0.73%"
"05/05/2024","716.44","710.14","723.66","706.70","608.59M","1.36%"
"04/28/2024","706.80","729.82","737.80","698.16","775.54M","-3.36%"
"04/21/2024","731.34","724.27","740.86","717.00","637.43M","0.74%"
"04/14/2024","725.99","738.83","741.69","714.54","683.53M","-1.22%"
"04/07/2024","734.96","749.26","756.56","731.57","656.95M","-1.93%"
"03/31/2024","749.39","722.89","752.47","716.39","691.45M","3.90%"
"03/24/2024","721.24","708.65","722.45","704.41","557.84M","2.21%"
"03/17/2024","705.67","696.94","709.04","690.87","643.18M","1.76%"
"03/10/2024","693.48","667.28","698.66","663.74","968.62M","3.74%"
"03/03/2024","668.50","660.74","669.75","652.13","689.11M","1.16%"
"02/25/2024","660.81","651.32","663.99","648.05","722.18M","1.30%"
"02/18/2024","652.35","649.60","659.26","642.62","649.02M","0.42%"
"02/11/2024","649.59","637.65","654.45","630.53","823.86M","2.17%"
"02/04/2024","635.81","635.24","649.62","628.99","705.21M","-0.24%"
"01/28/2024","637.35","642.98","650.08","630.96","850.23M","-1.01%"
"01/21/2024","643.85","610.72","643.91","607.04","791.92M","5.15%"
"01/14/2024","612.33","630.09","630.81","603.35","673.96M","-3.08%"
"01/07/2024","631.77","635.92","640.04","620.51","773.68M","-2.39%"
"12/31/2023","647.23","642.44","664.88","642.44","576.55M","1.12%"
"12/24/2023","640.05","654.06","657.98","638.33","405.96M","-1.37%"
"12/17/2023","648.91","648.50","656.63","641.12","674.63M","1.66%"
"12/10/2023","638.29","623.25","642.49","612.07","1.15B","2.42%"
"12/03/2023","623.22","640.97","645.33","614.42","829.80M","-3.28%"
"11/26/2023","644.36","642.49","652.11","633.99","784.06M","-0.11%"
"11/19/2023","645.08","646.18","649.89","626.46","410.90M","0.25%"
"11/12/2023","643.50","638.56","652.08","623.54","730.39M","0.88%"
"11/05/2023","637.88","666.65","667.42","630.89","762.87M","-3.82%"
"10/29/2023","663.24","650.77","670.74","644.00","792.87M","2.26%"
"10/22/2023","648.58","691.10","691.10","646.09","769.89M","-6.15%"
"10/15/2023","691.10","686.44","708.86","684.52","706.58M","0.68%"
"10/08/2023","686.44","656.79","689.85","656.79","803.95M","4.51%"
"10/01/2023","656.79","694.19","694.76","645.96","787.38M","-5.39%"
"09/24/2023","694.19","685.48","712.68","685.05","731.93M","1.27%"
"09/17/2023","685.48","701.84","712.45","683.41","659.94M","-2.33%"
"09/10/2023","701.84","700.97","713.39","688.57","839.77M","0.12%"
"09/03/2023","700.97","691.39","705.72","690.41","550.04M","1.39%"
"08/27/2023","691.39","666.18","692.44","666.18","548.87M","3.78%"
"08/20/2023","666.18","675.43","680.98","653.51","542.38M","-1.37%"
"08/13/2023","675.43","686.84","686.84","661.43","595.25M","-1.66%"
"08/06/2023","686.84","663.38","687.44","648.81","678.67M","3.54%"
"07/30/2023","663.38","655.86","673.91","651.54","728.26M","1.15%"
"07/23/2023","655.86","645.00","665.77","645.00","682.17M","1.68%"
"07/16/2023","645.00","623.02","645.38","619.36","747.33M","3.53%"
"07/09/2023","623.02","619.40","647.31","617.40","795.22M","0.58%"
"07/02/2023","619.40","623.56","629.95","602.56","545.82M","-0.67%"
"06/25/2023","623.56","595.17","626.96","594.98","708.46M","4.77%"
"06/18/2023","595.17","616.43","616.43","590.49","629.66M","-3.45%"
"06/11/2023","616.43","620.82","629.37","606.51","884.30M","-0.71%"
"06/04/2023","620.82","610.41","629.81","598.41","682.59M","1.71%"
"05/28/2023","610.41","602.51","613.24","583.10","768.65M","1.31%"
"05/21/2023","602.51","609.30","621.22","599.83","714.61M","-1.11%"
"05/14/2023","609.30","603.84","614.14","589.30","780.96M","0.90%"
"05/07/2023","603.84","617.15","628.51","598.63","688.50M","-2.16%"
"04/30/2023","617.15","655.20","655.20","599.19","815.32M","-5.81%"
"04/23/2023","655.20","653.30","666.59","636.98","694.42M","0.29%"
"04/16/2023","653.30","670.32","670.34","648.77","654.80M","-2.54%"
"04/09/2023","670.32","654.14","673.85","654.14","602.45M","2.47%"
"04/02/2023","654.14","634.90","669.67","634.90","706.82M","3.03%"
"03/26/2023","634.90","598.03","636.16","598.03","703.36M","6.17%"
"03/19/2023","598.03","584.64","620.84","582.54","868.69M","2.29%"
"03/12/2023","584.64","628.78","635.88","572.55","1.35B","-7.02%"
"03/05/2023","628.78","664.30","665.72","625.63","724.37M","-5.35%"
"02/26/2023","664.30","645.32","666.89","636.31","754.15M","2.94%"
"02/19/2023","645.32","644.20","649.82","631.78","631.47M","0.17%"
