"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2025","829.00","868.91","873.70","824.34","791.61M","-4.37%"
"02/01/2025","866.84","846.91","868.56","835.78","5.49B","1.28%"
"01/01/2025","855.91","807.83","865.46","783.16","5.73B","6.40%"
"12/01/2024","804.44","853.41","854.80","789.56","5.20B","-5.58%"
"11/01/2024","851.98","774.77","857.11","765.11","5.42B","10.16%"
"10/01/2024","773.41","753.00","795.04","743.57","5.64B","2.55%"
"09/01/2024","754.16","755.89","761.21","719.92","5.49B","-0.67%"
"08/01/2024","759.21","729.32","760.03","675.36","5.73B","4.36%"
"07/01/2024","727.47","686.48","733.38","683.18","6.31B","6.31%"
"06/01/2024","684.26","691.47","696.66","669.81","5.34B","-1.02%"
"05/01/2024","691.28","671.15","705.14","668.12","5.30B","3.01%"
"04/01/2024","671.09","701.36","702.38","657.50","6.33B","-4.31%"
"03/01/2024","701.32","669.67","702.75","666.61","6.07B","4.67%"
"02/01/2024","670.05","644.02","673.38","636.08","6.00B","3.96%"
"01/01/2024","644.54","624.28","656.03","614.78","6.82B","2.90%"
"12/01/2023","626.35","594.07","629.38","592.62","6.30B","5.25%"
"11/01/2023","595.09","539.05","595.35","537.56","5.96B","10.68%"
"10/01/2023","537.67","552.16","564.17","521.26","7.33B","-2.62%"
"09/01/2023","552.16","570.68","582.04","548.82","5.66B","-3.25%"
"08/01/2023","570.68","587.50","589.15","557.51","5.77B","-2.86%"
"07/01/2023","587.50","561.11","593.95","553.11","6.52B","4.70%"
"06/01/2023","561.11","526.72","563.32","526.28","7.00B","6.53%"
"05/01/2023","526.72","551.42","555.67","519.57","8.56B","-4.48%"
"04/01/2023","551.42","535.28","557.58","526.84","8.07B","3.02%"
"03/01/2023","535.28","593.02","601.17","506.10","14.00B","-9.74%"
"02/01/2023","593.02","607.90","616.58","585.76","4.38B","-2.45%"
"01/01/2023","607.90","569.74","607.91","567.40","5.56B","6.70%"
"12/01/2022","569.74","602.43","604.68","553.14","5.41B","-5.43%"
"11/01/2022","602.43","563.91","602.43","549.57","5.17B","6.83%"
"10/01/2022","563.91","504.39","568.62","491.83","6.19B","11.80%"
"09/01/2022","504.39","547.82","576.99","501.46","5.55B","-7.93%"
"08/01/2022","547.82","560.04","596.97","547.63","4.63B","-2.18%"
"07/01/2022","560.04","523.35","561.72","505.01","5.01B","7.01%"
"06/01/2022","523.35","588.47","588.53","506.58","5.89B","-11.07%"
"05/01/2022","588.47","573.70","599.50","534.82","6.42B","2.57%"
"04/01/2022","573.70","637.61","642.41","572.09","6.16B","-10.02%"
"03/01/2022","637.61","639.85","665.67","589.15","7.70B","-0.35%"
"02/01/2022","639.85","649.52","687.41","611.28","5.74B","-1.49%"
"01/01/2022","649.52","650.04","693.52","612.65","7.00B","-0.08%"
"12/01/2021","650.04","630.37","658.83","619.97","5.54B","3.12%"
"11/01/2021","630.37","669.09","675.84","629.33","5.03B","-5.79%"
"10/01/2021","669.09","624.60","679.38","624.06","5.04B","7.12%"
"09/01/2021","624.60","637.25","647.57","599.92","5.76B","-1.99%"
"08/01/2021","637.26","606.90","647.71","600.21","5.06B","5.00%"
"07/01/2021","606.90","610.60","617.34","580.30","5.61B","-0.61%"
"06/01/2021","610.60","630.13","640.04","583.38","6.29B","-3.10%"
"05/01/2021","630.13","601.98","635.30","598.84","5.02B","4.68%"
"04/01/2021","601.98","565.72","608.14","565.72","5.71B","6.41%"
"03/01/2021","565.72","535.64","584.34","535.64","7.68B","5.62%"
"02/01/2021","535.64","480.98","560.84","480.98","5.50B","11.36%"
"01/01/2021","480.98","490.43","525.27","478.64","6.38B","-1.93%"
"12/01/2020","490.43","462.45","490.97","462.45","6.07B","6.05%"
"11/01/2020","462.45","396.09","475.73","396.09","6.87B","16.75%"
"10/01/2020","396.09","400.28","425.08","386.44","7.02B","-1.05%"
"09/01/2020","400.28","415.53","430.58","381.91","7.21B","-3.67%"
"08/01/2020","415.53","399.06","426.88","396.21","5.69B","4.13%"
"07/01/2020","399.06","385.49","406.73","373.80","7.44B","3.52%"
"06/01/2020","385.49","387.52","443.80","374.79","9.82B","-0.52%"
"05/01/2020","387.52","378.34","402.99","332.96","8.23B","2.43%"
"04/01/2020","378.34","346.02","393.01","321.56","9.25B","9.34%"
"03/01/2020","346.02","440.70","466.52","291.28","13.86B","-21.48%"
"02/01/2020","440.70","497.10","519.77","429.83","5.94B","-11.35%"
"01/01/2020","497.10","511.39","516.26","494.17","5.67B","-2.79%"
"12/01/2019","511.39","498.96","513.71","486.04","5.04B","2.49%"
"11/01/2019","498.96","475.99","500.68","475.99","4.53B","4.83%"
"10/01/2019","475.99","465.54","481.23","439.16","6.08B","2.24%"
"09/01/2019","465.54","445.65","474.05","437.22","5.58B","4.46%"
"08/01/2019","445.65","469.45","471.53","429.31","6.21B","-5.07%"
"07/01/2019","469.45","458.92","476.65","458.92","5.43B","2.29%"
"06/01/2019","458.92","430.65","460.21","429.62","2.88B","6.56%"
