"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2025","834.20","868.91","873.70","823.16","1.15B","-3.77%"
"02/23/2025","866.84","845.88","867.80","835.78","1.54B","2.80%"
"02/16/2025","843.25","861.26","867.82","841.38","1.14B","-2.00%"
"02/09/2025","860.45","862.35","864.17","846.44","1.40B","-0.08%"
"02/02/2025","861.13","846.91","868.56","838.62","1.41B","0.61%"
"01/26/2025","855.91","843.60","865.46","842.12","1.37B","1.22%"
"01/19/2025","845.58","838.73","846.65","835.40","1.16B","1.24%"
"01/12/2025","835.19","783.59","836.86","783.16","1.70B","6.10%"
"01/05/2025","787.16","812.02","815.82","784.51","1.10B","-2.71%"
"12/29/2024","809.11","807.83","811.85","798.49","400.95M","-0.28%"
"12/22/2024","811.40","800.75","818.78","797.85","595.80M","0.88%"
"12/15/2024","804.29","822.09","823.30","789.56","1.84B","-2.00%"
"12/08/2024","820.73","837.19","837.56","819.81","1.27B","-1.93%"
"12/01/2024","836.85","853.41","854.80","831.75","1.17B","-1.78%"
"11/24/2024","851.98","846.88","857.11","843.30","948.59M","1.10%"
"11/17/2024","842.70","828.80","843.31","818.87","1.19B","1.68%"
"11/10/2024","828.75","824.89","832.82","823.14","1.31B","1.42%"
"11/03/2024","817.12","774.58","825.52","765.11","1.72B","5.53%"
"10/27/2024","774.28","779.34","788.46","773.30","1.22B","-0.18%"
"10/20/2024","775.66","790.86","791.94","773.73","1.16B","-2.08%"
"10/13/2024","792.12","774.91","795.04","773.06","1.52B","2.43%"
"10/06/2024","773.35","758.87","774.89","747.08","1.14B","1.81%"
"09/29/2024","759.61","750.73","759.85","743.57","1.07B","1.04%"
"09/22/2024","751.79","756.79","760.11","743.44","1.18B","-0.53%"
"09/15/2024","755.81","742.13","759.80","742.13","1.61B","2.35%"
"09/08/2024","738.49","740.64","749.85","719.92","1.43B","0.48%"
"09/01/2024","734.94","755.89","761.21","733.48","291.27M","-3.20%"
"08/25/2024","759.21","740.21","760.03","738.51","290.04M","2.93%"
"08/18/2024","737.63","730.31","739.45","723.75","265.87M","1.53%"
"08/11/2024","726.50","705.39","726.81","699.13","226.93M","3.22%"
"08/04/2024","703.87","692.23","705.89","675.36","199.54M","0.55%"
"07/28/2024","700.04","723.06","733.15","695.03","430.25M","-3.02%"
"07/21/2024","721.84","714.71","723.82","708.52","1.44B","1.28%"
"07/14/2024","712.71","707.13","733.38","707.09","1.80B","1.18%"
"07/07/2024","704.40","692.01","707.70","688.32","1.35B","2.00%"
"06/30/2024","690.61","686.48","694.99","683.18","859.88M","0.93%"
"06/23/2024","684.26","687.53","696.66","678.29","1.54B","-0.21%"
"06/16/2024","685.73","672.50","689.79","671.59","1.31B","1.70%"
"06/09/2024","674.29","685.85","686.27","669.81","1.39B","-2.00%"
"06/02/2024","688.05","691.47","691.90","680.80","1.10B","-0.47%"
"05/26/2024","691.28","689.90","691.89","675.96","1.10B","0.05%"
"05/19/2024","690.92","704.27","704.81","684.43","1.08B","-1.97%"
"05/12/2024","704.84","696.75","705.14","692.11","1.17B","1.37%"
"05/05/2024","695.29","678.15","696.14","677.79","1.15B","3.07%"
"04/28/2024","674.59","678.49","681.41","668.12","1.35B","-0.63%"
"04/21/2024","678.86","674.87","685.57","672.52","1.48B","1.05%"
"04/14/2024","671.82","674.12","677.55","657.50","1.75B","0.81%"
"04/07/2024","666.45","692.07","696.19","663.77","1.40B","-3.60%"
"03/31/2024","691.31","701.36","702.38","684.32","1.16B","-1.43%"
"03/24/2024","701.32","689.70","702.75","687.14","998.19M","1.71%"
"03/17/2024","689.52","678.40","699.66","675.70","1.38B","1.86%"
"03/10/2024","676.95","672.59","683.95","670.44","1.81B","0.44%"
"03/03/2024","673.97","668.44","677.38","667.63","1.60B","0.81%"
"02/25/2024","668.58","669.07","673.38","663.37","1.40B","-0.07%"
"02/18/2024","669.07","654.08","672.05","653.11","1.15B","1.60%"
"02/11/2024","658.55","649.46","661.88","638.38","1.48B","1.44%"
"02/04/2024","649.17","645.39","650.89","641.33","1.47B","0.18%"
"01/28/2024","648.01","641.52","656.03","636.08","1.76B","0.81%"
"01/21/2024","642.82","633.19","643.92","632.35","1.60B","1.88%"
"01/14/2024","630.96","621.62","631.60","614.78","1.52B","0.94%"
"01/07/2024","625.08","628.50","632.26","622.01","1.48B","-0.53%"
"12/31/2023","628.43","624.28","631.30","622.47","1.24B","0.33%"
"12/24/2023","626.35","621.89","629.38","621.78","720.15M","0.71%"
"12/17/2023","621.91","622.44","626.11","614.94","1.43B","0.28%"
"12/10/2023","620.17","599.33","625.12","599.33","2.25B","3.57%"
"12/03/2023","598.79","596.52","601.66","592.62","1.54B","-0.11%"
