"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2025","1,741.65","1,735.27","1,749.10","1,715.72","784.84M","0.42%"
"02/23/2025","1,734.28","1,705.76","1,735.66","1,701.66","1.30B","1.74%"
"02/16/2025","1,704.69","1,677.89","1,713.57","1,674.26","991.01M","1.07%"
"02/09/2025","1,686.57","1,708.08","1,708.81","1,686.03","1.19B","-1.11%"
"02/02/2025","1,705.45","1,704.61","1,732.47","1,696.67","1.25B","-0.31%"
"01/26/2025","1,710.76","1,686.59","1,731.04","1,686.59","1.12B","1.74%"
"01/19/2025","1,681.50","1,643.20","1,684.61","1,643.20","922.74M","2.90%"
"01/12/2025","1,634.14","1,631.32","1,654.32","1,619.86","1.11B","0.30%"
"01/05/2025","1,629.21","1,619.13","1,643.58","1,616.56","857.31M","0.52%"
"12/29/2024","1,620.82","1,613.99","1,625.09","1,600.03","319.29M","0.01%"
"12/22/2024","1,620.64","1,600.94","1,630.99","1,598.95","542.18M","1.09%"
"12/15/2024","1,603.10","1,638.63","1,645.66","1,579.18","1.73B","-2.20%"
"12/08/2024","1,639.18","1,679.49","1,686.81","1,628.72","1.07B","-2.35%"
"12/01/2024","1,678.63","1,713.92","1,716.74","1,676.39","993.11M","-2.05%"
"11/24/2024","1,713.71","1,684.73","1,719.40","1,683.29","805.08M","2.09%"
"11/17/2024","1,678.61","1,649.37","1,687.65","1,632.74","1.17B","1.62%"
"11/10/2024","1,651.81","1,741.74","1,753.93","1,648.19","1.37B","-5.54%"
"11/03/2024","1,748.63","1,718.87","1,758.02","1,700.81","1.20B","1.57%"
"10/27/2024","1,721.67","1,737.63","1,741.44","1,696.32","1.10B","-0.57%"
"10/20/2024","1,731.52","1,780.88","1,784.30","1,729.44","894.99M","-2.98%"
"10/13/2024","1,784.70","1,796.14","1,807.49","1,772.31","881.75M","-0.57%"
"10/06/2024","1,794.87","1,766.15","1,796.67","1,757.31","820.80M","1.46%"
"09/29/2024","1,769.05","1,786.39","1,800.24","1,759.78","907.34M","-0.93%"
"09/22/2024","1,785.58","1,809.21","1,810.49","1,776.00","915.08M","-1.13%"
"09/15/2024","1,805.90","1,824.36","1,831.21","1,799.28","1.11B","-0.58%"
"09/08/2024","1,816.48","1,792.37","1,821.91","1,779.04","887.33M","1.44%"
"09/01/2024","1,790.65","1,826.24","1,836.44","1,787.72","186.22M","-2.13%"
"08/25/2024","1,829.71","1,810.73","1,830.27","1,804.34","187.60M","1.05%"
"08/18/2024","1,810.72","1,791.58","1,811.04","1,791.58","141.80M","1.73%"
"08/11/2024","1,779.98","1,746.94","1,782.77","1,735.80","177.66M","1.92%"
"08/04/2024","1,746.41","1,738.43","1,751.06","1,695.29","161.94M","-0.62%"
"07/28/2024","1,757.39","1,745.26","1,765.45","1,731.04","248.09M","0.65%"
"07/21/2024","1,745.98","1,727.22","1,765.27","1,723.21","1.11B","1.35%"
"07/14/2024","1,722.79","1,732.22","1,763.62","1,711.61","1.03B","-0.33%"
"07/07/2024","1,728.54","1,684.34","1,735.97","1,675.67","845.49M","2.64%"
"06/30/2024","1,684.01","1,702.55","1,719.57","1,665.62","592.65M","-0.96%"
"06/23/2024","1,700.33","1,711.15","1,721.96","1,691.87","1.15B","-0.36%"
"06/16/2024","1,706.48","1,690.04","1,709.36","1,685.52","1.04B","0.58%"
"06/09/2024","1,696.64","1,699.96","1,709.96","1,681.99","908.44M","-0.40%"
"06/02/2024","1,703.44","1,670.55","1,711.91","1,668.73","929.52M","1.95%"
"05/26/2024","1,670.88","1,677.06","1,677.06","1,636.64","989.16M","-0.59%"
"05/19/2024","1,680.72","1,701.15","1,709.79","1,679.42","891.56M","-1.31%"
"05/12/2024","1,703.00","1,674.47","1,704.54","1,666.73","918.40M","1.84%"
"05/05/2024","1,672.26","1,644.39","1,677.96","1,638.53","967.66M","1.94%"
"04/28/2024","1,640.42","1,632.13","1,652.34","1,625.48","1.26B","0.59%"
"04/21/2024","1,630.84","1,623.71","1,649.24","1,618.44","992.03M","0.75%"
"04/14/2024","1,618.78","1,630.57","1,638.78","1,610.67","969.55M","-0.01%"
"04/07/2024","1,618.87","1,669.65","1,671.38","1,613.55","865.12M","-3.12%"
"03/31/2024","1,671.01","1,722.51","1,722.51","1,650.69","943.30M","-3.07%"
"03/24/2024","1,723.97","1,698.19","1,728.67","1,691.67","737.97M","1.60%"
"03/17/2024","1,696.81","1,693.54","1,705.50","1,686.25","898.89M","0.38%"
"03/10/2024","1,690.34","1,699.05","1,717.82","1,684.04","1.35B","-0.76%"
"03/03/2024","1,703.26","1,701.88","1,712.69","1,682.34","1.18B","0.03%"
"02/25/2024","1,702.79","1,719.69","1,723.61","1,681.95","1.04B","-1.05%"
"02/18/2024","1,720.80","1,695.48","1,725.67","1,678.78","758.56M","1.51%"
"02/11/2024","1,695.12","1,676.19","1,706.27","1,656.08","991.52M","1.02%"
"02/04/2024","1,678.00","1,653.64","1,689.56","1,653.24","1.16B","1.43%"
"01/28/2024","1,654.34","1,622.71","1,661.58","1,622.17","1.22B","1.98%"
"01/21/2024","1,622.26","1,626.71","1,639.37","1,598.18","1.02B","-0.23%"
"01/14/2024","1,625.99","1,634.88","1,636.06","1,603.49","813.64M","-0.72%"
"01/07/2024","1,637.75","1,623.86","1,651.17","1,616.55","1.03B","0.89%"
"12/31/2023","1,623.32","1,587.92","1,632.93","1,586.81","887.21M","2.07%"
"12/24/2023","1,590.36","1,573.52","1,594.66","1,572.35","518.98M","0.96%"
"12/17/2023","1,575.27","1,562.70","1,580.00","1,548.83","1.03B","1.07%"
"12/10/2023","1,558.59","1,541.00","1,586.26","1,536.15","1.66B","1.49%"
"12/03/2023","1,535.68","1,528.76","1,539.60","1,524.09","949.04M","0.20%"
"11/26/2023","1,532.57","1,523.39","1,534.04","1,504.29","1.11B","0.48%"
"11/19/2023","1,525.24","1,487.38","1,525.53","1,485.74","600.84M","2.20%"
"11/12/2023","1,492.44","1,472.01","1,500.79","1,463.10","1.04B","1.53%"
"11/05/2023","1,469.99","1,487.51","1,500.65","1,450.59","995.68M","-0.96%"
"10/29/2023","1,484.19","1,439.89","1,493.10","1,431.63","1.14B","3.48%"
"10/22/2023","1,434.27","1,492.01","1,495.21","1,428.19","1.04B","-3.87%"
"10/15/2023","1,492.01","1,516.76","1,536.90","1,488.38","1.13B","-1.63%"
"10/08/2023","1,516.76","1,515.28","1,535.14","1,505.50","926.75M","0.10%"
"10/01/2023","1,515.28","1,501.22","1,520.47","1,479.80","919.10M","0.94%"
"09/24/2023","1,501.22","1,518.09","1,526.61","1,494.54","854.60M","-1.11%"
"09/17/2023","1,518.09","1,536.19","1,545.79","1,516.51","840.96M","-1.18%"
"09/10/2023","1,536.19","1,535.49","1,552.66","1,533.06","1.03B","0.05%"
"09/03/2023","1,535.49","1,552.95","1,554.24","1,522.12","720.51M","-1.12%"
"08/27/2023","1,552.95","1,552.14","1,577.99","1,549.26","780.18M","0.05%"
"08/20/2023","1,552.14","1,554.39","1,564.23","1,540.43","1.12B","-0.14%"
"08/13/2023","1,554.39","1,579.26","1,589.49","1,550.05","1.18B","-1.57%"
"08/06/2023","1,579.26","1,541.39","1,589.97","1,541.39","1.02B","2.46%"
"07/30/2023","1,541.39","1,574.35","1,574.35","1,538.41","1.05B","-2.09%"
"07/23/2023","1,574.35","1,587.77","1,594.44","1,565.74","956.37M","-0.85%"
"07/16/2023","1,587.77","1,534.69","1,592.37","1,522.46","937.27M","3.46%"
"07/09/2023","1,534.69","1,504.14","1,539.45","1,504.14","779.69M","2.03%"
"07/02/2023","1,504.14","1,548.62","1,548.62","1,503.61","624.51M","-2.87%"
"06/25/2023","1,548.62","1,539.92","1,551.57","1,516.67","873.86M","0.56%"
"06/18/2023","1,539.92","1,536.25","1,547.11","1,521.27","740.33M","0.24%"
"06/11/2023","1,536.25","1,515.05","1,548.07","1,507.72","1.14B","1.40%"
"06/04/2023","1,515.05","1,516.22","1,527.95","1,498.29","798.39M","-0.08%"
"05/28/2023","1,516.22","1,483.73","1,518.50","1,466.49","871.13M","2.19%"
"05/21/2023","1,483.73","1,528.47","1,539.08","1,476.45","991.43M","-2.93%"
"05/14/2023","1,528.47","1,538.82","1,540.51","1,508.43","806.92M","-0.67%"
"05/07/2023","1,538.82","1,556.81","1,556.81","1,532.24","825.54M","-1.16%"
"04/30/2023","1,556.81","1,555.39","1,571.05","1,536.58","893.32M","0.09%"
"04/23/2023","1,555.39","1,564.68","1,575.89","1,522.08","956.83M","-0.59%"
"04/16/2023","1,564.68","1,568.38","1,570.23","1,547.17","851.21M","-0.24%"
"04/09/2023","1,568.38","1,557.33","1,582.54","1,544.98","721.96M","0.71%"
"04/02/2023","1,557.33","1,510.73","1,563.71","1,507.61","699.13M","3.08%"
"03/26/2023","1,510.73","1,484.65","1,511.00","1,478.51","717.37M","1.76%"
"03/19/2023","1,484.65","1,462.81","1,496.65","1,456.74","806.98M","1.49%"
"03/12/2023","1,462.81","1,443.91","1,482.41","1,439.30","1.17B","1.31%"
"03/05/2023","1,443.91","1,503.32","1,509.23","1,438.33","860.90M","-3.95%"
"02/26/2023","1,503.32","1,495.64","1,507.62","1,471.00","862.94M","0.51%"
"02/19/2023","1,495.64","1,536.74","1,536.74","1,491.28","655.15M","-2.67%"
"02/12/2023","1,536.74","1,543.29","1,560.38","1,514.75","802.00M","-0.42%"
"02/05/2023","1,543.29","1,546.32","1,551.92","1,526.55","894.66M","-0.20%"
"01/29/2023","1,546.32","1,547.92","1,570.40","1,531.55","1.12B","-0.10%"
"01/22/2023","1,547.92","1,561.79","1,574.66","1,541.26","828.34M","-0.89%"
"01/15/2023","1,561.79","1,579.53","1,580.95","1,544.77","784.85M","-1.12%"
"01/08/2023","1,579.53","1,582.51","1,584.44","1,553.85","978.50M","-0.19%"
"01/01/2023","1,582.51","1,585.54","1,593.22","1,558.81","720.61M","-0.19%"
"12/25/2022","1,585.54","1,588.53","1,598.88","1,569.49","396.10M","-0.19%"
"12/18/2022","1,588.53","1,575.84","1,594.24","1,560.72","703.94M","0.81%"
"12/11/2022","1,575.84","1,605.20","1,646.35","1,566.81","1.27B","-1.83%"
"12/04/2022","1,605.20","1,626.18","1,628.17","1,590.27","783.86M","-1.29%"
"11/27/2022","1,626.18","1,595.63","1,630.55","1,571.69","998.02M","1.91%"
"11/20/2022","1,595.63","1,565.77","1,597.22","1,560.78","500.80M","1.91%"
"11/13/2022","1,565.77","1,550.40","1,570.07","1,535.14","903.34M","0.99%"
"11/06/2022","1,550.40","1,523.29","1,572.81","1,520.57","1.04B","1.78%"
"10/30/2022","1,523.29","1,547.85","1,561.33","1,498.98","1.09B","-1.59%"
"10/23/2022","1,547.85","1,474.11","1,549.23","1,474.11","1.02B","5.00%"
"10/16/2022","1,474.11","1,441.15","1,487.44","1,433.62","885.96M","2.29%"
