"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2025","1,131.25","1,158.92","1,162.40","1,105.04","702.63M","-1.85%"
"02/23/2025","1,152.54","1,144.41","1,153.50","1,128.77","1.04B","1.12%"
"02/16/2025","1,139.79","1,168.88","1,176.17","1,135.69","792.69M","-2.06%"
"02/09/2025","1,163.78","1,169.28","1,173.68","1,156.26","939.97M","0.15%"
"02/02/2025","1,162.00","1,155.41","1,172.79","1,145.83","1.12B","-0.80%"
"01/26/2025","1,171.34","1,180.89","1,182.88","1,164.85","1.13B","-1.91%"
"01/19/2025","1,194.15","1,177.50","1,201.20","1,177.12","798.28M","2.40%"
"01/12/2025","1,166.14","1,105.48","1,170.70","1,104.77","957.86M","4.82%"
"01/05/2025","1,112.52","1,129.96","1,133.24","1,110.04","771.19M","-1.01%"
"12/29/2024","1,123.87","1,124.79","1,125.95","1,107.16","319.29M","-0.38%"
"12/22/2024","1,128.17","1,125.38","1,140.05","1,118.29","429.74M","0.00%"
"12/15/2024","1,128.15","1,160.40","1,163.92","1,111.18","1.34B","-2.64%"
"12/08/2024","1,158.80","1,185.43","1,186.90","1,157.78","978.66M","-2.29%"
"12/01/2024","1,185.91","1,214.76","1,214.76","1,183.93","868.50M","-2.32%"
"11/24/2024","1,214.04","1,210.01","1,219.18","1,205.84","614.46M","0.89%"
"11/17/2024","1,203.38","1,172.36","1,204.21","1,163.85","875.86M","2.46%"
"11/10/2024","1,174.44","1,208.45","1,214.10","1,171.77","920.04M","-2.14%"
"11/03/2024","1,200.17","1,132.76","1,204.32","1,128.15","1.03B","5.93%"
"10/27/2024","1,132.95","1,150.40","1,152.00","1,127.68","1.10B","-1.03%"
"10/20/2024","1,144.70","1,177.10","1,178.78","1,142.53","859.96M","-2.77%"
"10/13/2024","1,177.27","1,169.43","1,180.88","1,166.00","858.13M","0.60%"
"10/06/2024","1,170.25","1,141.11","1,170.64","1,137.67","778.80M","2.10%"
"09/29/2024","1,146.22","1,139.46","1,152.34","1,134.74","820.87M","0.41%"
"09/22/2024","1,141.58","1,127.19","1,148.56","1,124.34","842.17M","1.56%"
"09/15/2024","1,124.10","1,107.90","1,133.90","1,101.10","1.29B","2.02%"
"09/08/2024","1,101.79","1,070.66","1,105.91","1,056.62","1.01B","3.70%"
"09/01/2024","1,062.45","1,105.41","1,106.04","1,060.91","194.37M","-4.35%"
"08/25/2024","1,110.78","1,095.06","1,111.38","1,085.87","190.36M","1.66%"
"08/18/2024","1,092.68","1,079.18","1,094.70","1,073.42","169.41M","1.78%"
"08/11/2024","1,073.54","1,051.77","1,078.32","1,042.81","182.91M","2.12%"
"08/04/2024","1,051.25","1,020.72","1,053.19","1,007.89","168.55M","1.20%"
"07/28/2024","1,038.80","1,071.90","1,092.15","1,028.79","292.76M","-2.79%"
"07/21/2024","1,068.60","1,062.22","1,076.03","1,041.47","1.33B","1.14%"
"07/14/2024","1,056.59","1,054.84","1,085.81","1,051.16","1.14B","0.56%"
"07/07/2024","1,050.67","1,028.59","1,057.08","1,022.19","1.04B","2.38%"
"06/30/2024","1,026.22","1,036.62","1,037.99","1,018.03","635.82M","-0.56%"
"06/23/2024","1,031.96","1,041.05","1,051.31","1,026.39","1.20B","-0.60%"
"06/16/2024","1,038.17","1,018.68","1,042.55","1,017.94","898.32M","1.55%"
"06/09/2024","1,022.35","1,031.33","1,045.80","1,010.27","984.64M","-1.01%"
"06/02/2024","1,032.74","1,046.20","1,046.20","1,020.82","1.02B","-0.97%"
"05/26/2024","1,042.88","1,051.03","1,051.03","1,023.43","1.14B","-0.85%"
"05/19/2024","1,051.77","1,059.57","1,064.81","1,044.32","918.42M","-0.68%"
"05/12/2024","1,059.01","1,064.80","1,066.14","1,054.01","946.51M","-0.36%"
"05/05/2024","1,062.84","1,046.52","1,067.08","1,044.97","1.04B","2.30%"
"04/28/2024","1,038.97","1,040.18","1,045.85","1,020.29","1.23B","0.09%"
"04/21/2024","1,038.07","1,024.81","1,042.97","1,020.66","1.30B","1.82%"
"04/14/2024","1,019.51","1,053.69","1,055.59","1,016.99","1.23B","-2.02%"
"04/07/2024","1,040.48","1,065.55","1,066.42","1,036.08","1.11B","-2.22%"
"03/31/2024","1,064.12","1,066.85","1,069.86","1,043.23","1.19B","-0.24%"
"03/24/2024","1,066.71","1,058.73","1,068.98","1,049.08","786.66M","0.60%"
"03/17/2024","1,060.31","1,034.28","1,067.71","1,031.08","998.92M","2.89%"
"03/10/2024","1,030.54","1,029.54","1,036.92","1,020.04","1.36B","-0.18%"
"03/03/2024","1,032.45","1,027.24","1,042.67","1,017.55","1.07B","0.61%"
"02/25/2024","1,026.20","1,015.68","1,026.98","1,011.98","991.56M","1.00%"
"02/18/2024","1,016.05","996.16","1,018.02","992.64","841.11M","1.78%"
"02/11/2024","998.28","989.35","1,005.20","974.21","1.13B","0.85%"
"02/04/2024","989.85","972.74","991.30","967.81","1.10B","1.17%"
"01/28/2024","978.44","959.19","982.53","955.65","1.21B","1.88%"
"01/21/2024","960.37","955.85","965.52","952.23","1.35B","0.87%"
"01/14/2024","952.12","944.51","954.23","931.35","1.03B","0.29%"
"01/07/2024","949.41","941.04","954.45","937.18","1.17B","0.57%"
