"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2025","4,315.4","4,421.2","4,428.5","4,174.9","3.44B","-2.17%"
"02/23/2025","4,411.3","4,612.2","4,632.8","4,277.2","5.56B","-4.01%"
"02/16/2025","4,595.7","4,703.9","4,730.3","4,592.9","4.38B","-1.82%"
"02/09/2025","4,681.1","4,546.6","4,686.0","4,517.2","4.61B","3.76%"
"02/02/2025","4,511.5","4,359.9","4,593.0","4,338.8","4.60B","0.83%"
"01/26/2025","4,474.2","4,444.3","4,589.9","4,392.4","6.18B","-4.55%"
"01/19/2025","4,687.7","4,600.8","4,756.4","4,564.2","3.10B","1.88%"
"01/12/2025","4,601.2","4,443.7","4,625.7","4,433.0","3.60B","1.58%"
"01/05/2025","4,529.8","4,736.6","4,792.9","4,495.8","3.35B","-3.10%"
"12/29/2024","4,674.8","4,637.3","4,678.9","4,552.9","1.32B","-0.73%"
"12/22/2024","4,709.4","4,685.6","4,797.3","4,663.5","2.13B","0.85%"
"12/15/2024","4,669.5","4,709.8","4,766.8","4,547.2","5.54B","-0.73%"
"12/08/2024","4,703.8","4,679.6","4,749.2","4,617.3","4.07B","-0.16%"
"12/01/2024","4,711.3","4,560.5","4,736.6","4,560.5","4.38B","3.35%"
"11/24/2024","4,558.7","4,571.3","4,578.4","4,473.1","3.17B","0.25%"
"11/17/2024","4,547.3","4,463.5","4,605.4","4,449.8","4.38B","1.55%"
"11/10/2024","4,478.0","4,622.9","4,625.6","4,456.5","3.91B","-3.18%"
"11/03/2024","4,624.9","4,391.1","4,651.9","4,363.7","4.10B","5.44%"
"10/27/2024","4,386.2","4,565.4","4,597.4","4,354.6","3.93B","-3.28%"
"10/20/2024","4,534.9","4,515.1","4,590.2","4,457.9","3.23B","0.18%"
"10/13/2024","4,526.7","4,521.4","4,574.6","4,428.2","3.61B","0.81%"
"10/06/2024","4,490.4","4,364.2","4,502.9","4,344.7","3.63B","2.50%"
"09/29/2024","4,380.8","4,358.7","4,404.8","4,255.1","3.40B","0.05%"
"09/22/2024","4,378.5","4,329.6","4,456.3","4,293.6","4.00B","1.13%"
"09/15/2024","4,329.4","4,237.2","4,377.4","4,206.5","4.59B","0.97%"
"09/08/2024","4,287.6","4,035.8","4,298.8","3,992.5","3.70B","7.33%"
"09/01/2024","3,994.9","4,257.6","4,258.1","3,978.1","906.24M","-7.06%"
"08/25/2024","4,298.5","4,357.6","4,373.3","4,246.3","877.00M","-1.48%"
"08/18/2024","4,363.0","4,365.7","4,420.3","4,282.7","680.95M","1.07%"
"08/11/2024","4,316.8","4,028.8","4,325.0","4,017.2","642.04M","7.51%"
"08/04/2024","4,015.2","3,717.1","4,036.3","3,709.3","657.76M","-0.23%"
"07/28/2024","4,024.5","4,217.2","4,292.7","3,964.4","1.33B","-4.03%"
"07/21/2024","4,193.4","4,356.8","4,414.6","4,086.9","3.69B","-2.44%"
"07/14/2024","4,298.4","4,571.4","4,593.7","4,289.4","3.59B","-5.14%"
"07/07/2024","4,531.2","4,521.2","4,617.7","4,476.5","3.43B","0.51%"
"06/30/2024","4,508.1","4,351.6","4,523.1","4,298.8","2.19B","3.85%"
"06/23/2024","4,341.1","4,327.1","4,429.2","4,269.9","3.97B","-0.44%"
"06/16/2024","4,360.2","4,409.1","4,507.4","4,341.5","4.22B","-0.66%"
"06/09/2024","4,389.3","4,113.9","4,395.1","4,097.6","3.60B","6.42%"
"06/02/2024","4,124.4","4,020.5","4,157.7","3,959.8","2.14B","3.83%"
"05/26/2024","3,972.2","4,071.6","4,097.6","3,887.7","2.17B","-1.46%"
"05/19/2024","4,031.1","3,905.5","4,043.6","3,904.0","2.02B","3.44%"
"05/12/2024","3,897.2","3,814.8","3,947.2","3,785.6","1.97B","2.90%"
"05/05/2024","3,787.4","3,748.6","3,812.7","3,744.4","1.81B","1.41%"
"04/28/2024","3,734.8","3,696.3","3,749.8","3,557.8","2.36B","1.51%"
