"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2025","553.15","561.64","564.76","538.15","444.13M","-0.90%"
"02/23/2025","558.18","555.05","562.23","551.34","622.32M","0.71%"
"02/16/2025","554.23","565.69","572.58","553.62","442.78M","-2.01%"
"02/09/2025","565.59","559.27","571.87","552.42","541.14M","1.75%"
"02/02/2025","555.87","553.75","563.86","547.47","811.93M","-0.57%"
"01/26/2025","559.03","558.84","564.07","555.97","570.39M","-0.22%"
"01/19/2025","560.25","560.19","564.55","555.73","376.47M","0.74%"
"01/12/2025","556.14","524.29","559.51","523.73","463.54M","6.01%"
"01/05/2025","524.63","527.00","532.94","523.18","384.29M","0.14%"
"12/29/2024","523.89","532.38","534.02","523.00","161.38M","-2.09%"
"12/22/2024","535.06","535.36","539.98","530.88","220.32M","-0.27%"
"12/15/2024","536.53","558.18","560.12","528.79","645.32M","-4.16%"
"12/08/2024","559.79","579.71","583.55","557.82","432.36M","-2.91%"
"12/01/2024","576.55","594.27","596.21","575.51","467.70M","-3.04%"
"11/24/2024","594.62","591.30","597.02","589.99","361.89M","0.67%"
"11/17/2024","590.68","574.29","591.19","570.92","504.22M","2.95%"
"11/10/2024","573.77","592.69","594.98","572.67","444.39M","-3.33%"
"11/03/2024","593.55","589.41","601.29","585.19","532.15M","1.46%"
"10/27/2024","585.02","594.77","598.97","584.79","415.45M","-1.22%"
"10/20/2024","592.25","616.36","616.87","591.94","374.56M","-4.01%"
"10/13/2024","616.97","602.43","618.33","601.69","329.30M","1.92%"
"10/06/2024","605.33","596.31","606.86","592.16","306.10M","1.01%"
"09/29/2024","599.28","609.68","610.43","595.59","328.24M","-1.98%"
"09/22/2024","611.36","593.33","616.48","592.54","404.77M","3.38%"
"09/15/2024","591.37","585.86","597.46","583.25","452.68M","1.52%"
"09/08/2024","582.52","567.93","585.62","558.75","353.43M","3.16%"
"09/01/2024","564.66","586.60","587.56","563.85","76.34M","-4.84%"
"08/25/2024","593.39","585.86","594.13","581.92","79.82M","1.58%"
"08/18/2024","584.17","573.41","585.54","570.55","58.48M","2.39%"
"08/11/2024","570.53","558.59","570.99","554.43","89.02M","2.23%"
"08/04/2024","558.08","557.58","564.69","549.72","55.97M","-1.68%"
"07/28/2024","567.59","576.33","588.36","560.01","102.29M","-1.38%"
"07/21/2024","575.56","569.29","577.56","561.83","420.97M","1.37%"
"07/14/2024","567.76","569.77","582.02","566.23","396.27M","-0.46%"
"07/07/2024","570.39","555.47","573.03","549.80","470.29M","2.97%"
"06/30/2024","553.95","557.26","558.69","544.34","298.87M","-0.46%"
"06/23/2024","556.50","564.32","568.27","554.33","465.04M","-1.11%"
"06/16/2024","562.77","557.32","565.10","555.09","391.08M","0.76%"
"06/09/2024","558.52","562.43","571.16","555.03","333.72M","-0.90%"
"06/02/2024","563.60","575.19","575.19","561.55","388.98M","-1.55%"
"05/26/2024","572.50","574.74","575.85","570.63","75.55M","-0.40%"
"05/19/2024","574.79","579.41","581.73","568.68","383.74M","-0.86%"
"05/12/2024","579.79","579.43","581.54","574.70","363.52M","0.27%"
"05/05/2024","578.21","567.68","580.43","564.61","413.32M","2.58%"
"04/28/2024","563.67","566.96","569.90","553.55","511.78M","0.00%"
"04/21/2024","563.68","557.24","565.94","551.32","442.52M","0.65%"
"04/14/2024","560.03","571.55","574.12","557.29","395.81M","-1.09%"
"04/07/2024","566.21","585.93","589.15","563.69","414.31M","-3.10%"
"03/31/2024","584.35","587.21","590.07","577.81","418.38M","-0.14%"
"03/24/2024","585.16","575.92","586.93","575.17","339.27M","1.62%"
"03/17/2024","575.83","571.93","580.27","568.87","428.02M","0.98%"
"03/10/2024","570.26","564.34","575.74","562.34","644.56M","1.51%"
"03/03/2024","561.79","552.71","567.64","552.14","462.82M","1.58%"
"02/25/2024","553.03","544.56","554.29","542.56","462.45M","1.16%"
"02/18/2024","546.67","536.20","547.48","533.32","358.06M","1.90%"
"02/11/2024","536.49","524.82","540.27","516.84","421.41M","2.36%"
"02/04/2024","524.12","517.11","525.07","509.05","486.97M","0.02%"
"01/28/2024","524.02","519.92","527.73","517.51","465.18M","0.76%"
"01/21/2024","520.05","515.99","524.65","514.31","431.48M","0.29%"
"01/14/2024","518.55","523.02","523.89","513.57","326.70M","-1.49%"
"01/07/2024","526.40","529.96","534.39","521.92","318.64M","-1.04%"
"12/31/2023","531.94","536.20","539.47","529.00","300.91M","-1.42%"
"12/24/2023","539.62","541.18","544.65","538.63","179.39M","-0.16%"
"12/17/2023","540.47","538.63","541.62","531.51","363.18M","1.13%"
"12/10/2023","534.42","513.27","538.48","512.23","618.82M","4.00%"
"12/03/2023","513.85","518.40","522.49","508.18","437.94M","-1.72%"
"11/26/2023","522.84","508.34","524.57","505.98","484.80M","2.57%"
"11/19/2023","509.76","504.30","511.70","501.43","239.89M","1.00%"
"11/12/2023","504.69","484.43","506.98","483.43","411.68M","3.68%"
"11/05/2023","486.80","495.97","495.97","480.85","500.36M","-1.83%"
"10/29/2023","495.87","474.27","499.35","473.24","468.88M","5.10%"
"10/22/2023","471.83","469.10","477.07","468.05","480.86M","-0.45%"
"10/15/2023","473.96","491.90","499.94","473.88","386.79M","-3.02%"
"10/08/2023","488.74","488.79","500.97","485.79","334.81M","-0.44%"
"10/01/2023","490.89","492.85","494.35","483.48","396.09M","-0.74%"
"09/24/2023","494.54","492.13","500.11","487.56","353.33M","0.17%"
"09/17/2023","493.72","511.95","512.96","493.05","354.43M","-3.69%"
"09/10/2023","512.61","517.26","519.35","509.85","420.82M","-0.13%"
"09/03/2023","513.26","524.92","525.69","508.92","297.80M","-2.45%"
"08/27/2023","526.13","509.70","527.65","509.48","287.16M","3.57%"
"08/20/2023","507.99","509.81","511.63","503.88","294.27M","-0.04%"
"08/13/2023","508.20","517.94","521.58","505.02","347.05M","-2.37%"
"08/06/2023","520.56","527.98","530.26","518.28","341.56M","-1.00%"
"07/30/2023","525.84","537.47","540.39","525.58","415.20M","-2.03%"
"07/23/2023","536.71","527.49","540.30","525.64","393.72M","1.81%"
"07/16/2023","527.18","522.39","530.26","521.64","343.58M","0.58%"
"07/09/2023","524.15","508.88","527.85","507.80","361.19M","2.48%"
"07/02/2023","511.46","521.75","525.93","499.45","297.77M","-2.01%"
"06/25/2023","521.93","502.96","523.09","502.69","330.05M","3.96%"
"06/18/2023","502.04","508.78","509.42","498.38","311.50M","-1.96%"
"06/11/2023","512.10","495.91","513.43","492.99","458.57M","3.32%"
"06/04/2023","495.64","493.28","503.01","490.87","379.39M","0.55%"
"05/28/2023","492.95","479.17","494.03","469.18","413.95M","2.87%"
"05/21/2023","479.21","495.39","497.15","474.69","356.44M","-3.14%"
"05/14/2023","494.76","493.37","497.27","486.21","343.49M","0.66%"
"05/07/2023","491.53","503.57","505.07","487.42","349.92M","-1.99%"
"04/30/2023","501.50","508.40","510.20","492.18","427.24M","-1.10%"
"04/23/2023","507.06","509.15","511.65","492.97","382.97M","-0.19%"
"04/16/2023","508.05","510.16","516.27","505.42","340.42M","-0.31%"
"04/09/2023","509.65","499.75","515.54","499.01","343.60M","1.62%"
"04/02/2023","501.51","509.04","512.37","497.72","324.41M","-1.26%"
"03/26/2023","507.92","487.46","508.18","484.28","308.89M","4.93%"
"03/19/2023","484.05","478.28","492.33","473.18","384.88M","2.12%"
"03/12/2023","474.00","486.15","497.73","469.45","625.56M","-3.51%"
"03/05/2023","491.26","528.98","529.84","488.66","374.26M","-7.64%"
"02/26/2023","531.90","514.33","532.11","511.30","374.52M","4.02%"
"02/19/2023","511.33","510.44","511.89","496.84","334.29M","-0.13%"
"02/12/2023","512.00","517.23","523.00","509.26","371.98M","-0.95%"
"02/05/2023","516.93","522.17","529.02","510.82","390.48M","-1.66%"
"01/29/2023","525.63","523.05","541.10","521.29","443.71M","0.03%"
"01/22/2023","525.46","520.28","529.05","516.12","355.86M","0.71%"
"01/15/2023","521.77","527.87","529.73","507.25","302.54M","-1.21%"
"01/08/2023","528.16","510.19","528.92","507.07","368.77M","4.29%"
"01/01/2023","506.45","489.63","507.58","484.64","304.48M","3.45%"
"12/25/2022","489.55","496.12","498.71","485.44","181.84M","-1.18%"
"12/18/2022","495.38","495.08","498.62","483.67","270.71M","-0.10%"
"12/11/2022","495.88","508.27","528.50","490.84","435.89M","-2.34%"
"12/04/2022","507.77","522.04","523.26","506.70","323.81M","-3.33%"
"11/27/2022","525.28","514.03","526.74","502.75","401.95M","1.54%"
"11/20/2022","517.32","500.14","518.20","498.18","206.36M","2.92%"
"11/13/2022","502.64","510.21","517.03","493.45","368.22M","-1.61%"
"11/06/2022","510.85","476.97","516.70","472.70","446.93M","7.69%"
"10/30/2022","474.35","468.26","477.83","448.91","519.27M","0.86%"
"10/23/2022","470.30","456.89","471.58","451.47","399.73M","3.34%"
"10/16/2022","455.08","435.12","455.55","435.12","398.49M","6.15%"
"10/09/2022","428.72","439.37","447.57","420.72","378.77M","-1.89%"
"10/02/2022","436.96","433.78","458.49","432.31","421.02M","2.15%"
"09/25/2022","427.77","428.09","437.87","421.19","432.27M","-0.73%"
"09/18/2022","430.90","452.48","464.89","424.65","419.73M","-5.67%"
"09/11/2022","456.82","494.54","496.18","451.81","522.62M","-6.65%"
"09/04/2022","489.37","468.27","490.55","462.43","309.20M","4.94%"
"08/28/2022","466.33","486.79","491.49","461.12","413.29M","-4.99%"
"08/21/2022","490.81","490.69","508.29","487.76","360.91M","-1.33%"
"08/14/2022","497.42","504.46","514.55","495.68","326.29M","-2.45%"
"08/07/2022","509.91","489.68","509.97","483.63","347.00M","5.14%"
"07/31/2022","484.99","488.38","489.33","478.23","419.24M","-1.29%"
"07/24/2022","491.31","472.78","492.68","465.32","502.36M","4.08%"
"07/17/2022","472.06","458.76","480.98","452.69","416.49M","4.14%"
"07/10/2022","453.29","454.29","463.26","440.32","418.80M","-1.32%"
"07/03/2022","459.36","456.74","468.54","447.50","377.86M","-1.48%"
"06/26/2022","466.26","480.41","484.60","454.36","433.54M","-3.13%"
"06/19/2022","481.35","472.45","481.43","458.37","495.06M","2.68%"
"06/12/2022","468.80","499.51","499.51","460.53","567.13M","-8.28%"
"06/05/2022","511.12","546.09","552.14","510.51","371.60M","-5.78%"
"05/29/2022","542.46","543.70","547.92","528.46","386.16M","-0.98%"
"05/22/2022","547.81","521.18","547.81","514.69","408.08M","5.93%"
