"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2025","271.42","269.35","272.67","269.07","77.08M","0.90%"
"02/23/2025","269.00","263.14","269.63","262.04","399.26M","2.11%"
"02/16/2025","263.43","261.13","265.49","260.99","296.74M","0.60%"
"02/09/2025","261.85","261.42","264.75","258.39","301.80M","0.34%"
"02/02/2025","260.97","255.25","262.83","252.76","312.36M","1.39%"
"01/26/2025","257.38","258.02","261.42","253.54","385.52M","-0.56%"
"01/19/2025","258.82","257.17","260.91","253.98","266.92M","1.12%"
"01/12/2025","255.96","244.69","257.81","244.28","331.20M","4.58%"
"01/05/2025","244.75","254.58","255.95","244.70","294.74M","-4.05%"
"12/29/2024","255.09","254.14","255.45","251.03","113.67M","0.67%"
"12/22/2024","253.40","251.65","256.39","251.02","173.84M","0.29%"
"12/15/2024","252.66","265.27","267.08","248.14","523.30M","-4.93%"
"12/08/2024","265.76","272.80","273.56","265.37","299.75M","-2.49%"
"12/01/2024","272.56","278.66","278.66","271.08","284.96M","-2.63%"
"11/24/2024","279.92","276.13","283.24","276.06","279.79M","1.90%"
"11/17/2024","274.70","266.95","275.16","266.91","259.13M","2.29%"
"11/10/2024","268.54","273.14","274.66","265.89","345.62M","-1.87%"
"11/03/2024","273.66","268.23","274.58","263.16","392.10M","2.49%"
"10/27/2024","267.02","277.74","279.22","266.91","361.07M","-3.13%"
"10/20/2024","275.66","278.79","281.66","273.14","279.87M","-1.57%"
"10/13/2024","280.05","271.43","280.62","270.94","276.41M","2.97%"
"10/06/2024","271.97","271.29","272.74","268.41","245.26M","-0.40%"
"09/29/2024","273.06","277.73","281.45","270.44","321.04M","-1.90%"
"09/22/2024","278.36","280.66","283.48","276.93","337.80M","-0.18%"
"09/15/2024","278.86","283.86","284.60","277.09","434.78M","-1.42%"
"09/08/2024","282.88","273.59","283.06","273.06","334.23M","3.42%"
"09/01/2024","273.53","271.21","277.09","271.00","259.29M","0.21%"
"08/25/2024","272.97","273.34","273.45","268.93","288.43M","0.41%"
"08/18/2024","271.85","262.52","272.10","262.39","248.73M","3.58%"
"08/11/2024","262.45","261.23","264.81","259.04","272.82M","-0.01%"
"08/04/2024","262.47","257.66","264.95","254.73","381.51M","-0.07%"
"07/28/2024","262.66","254.68","265.15","253.04","435.60M","3.10%"
"07/21/2024","254.76","255.13","258.56","249.98","310.55M","0.01%"
"07/14/2024","254.74","251.71","259.96","250.47","310.29M","1.34%"
"07/07/2024","251.36","241.15","253.00","239.18","315.02M","4.27%"
"06/30/2024","241.06","240.70","241.79","237.85","195.75M","-0.23%"
"06/23/2024","241.61","239.98","244.12","236.42","353.92M","0.77%"
"06/16/2024","239.77","238.68","240.92","237.72","322.66M","-0.45%"
"06/09/2024","240.86","236.73","243.78","235.71","303.79M","1.33%"
"06/02/2024","237.71","238.49","240.50","235.93","280.90M","-0.07%"
"05/26/2024","237.88","233.48","238.09","228.54","317.24M","2.27%"
"05/19/2024","232.61","241.08","242.10","232.38","243.16M","-3.76%"
"05/12/2024","241.70","236.22","243.07","234.71","298.10M","2.78%"
"05/05/2024","235.16","231.80","236.62","229.10","325.73M","2.12%"
"04/28/2024","230.28","228.02","233.65","224.14","424.20M","1.73%"
"04/21/2024","226.36","224.21","228.63","222.96","325.69M","1.23%"
"04/14/2024","223.61","232.71","233.04","221.47","337.41M","-3.47%"
"04/07/2024","231.65","239.13","243.86","230.75","332.46M","-2.87%"
"03/31/2024","238.50","246.03","246.05","236.05","292.27M","-3.05%"
"03/24/2024","246.00","240.76","246.37","238.21","269.47M","2.34%"
"03/17/2024","240.38","241.94","244.67","238.94","316.61M","-0.61%"
"03/10/2024","241.85","250.27","251.90","240.49","392.88M","-3.68%"
"03/03/2024","251.09","246.71","251.64","244.90","351.63M","1.60%"
"02/25/2024","247.13","241.63","247.25","238.18","476.06M","2.00%"
"02/18/2024","242.29","238.98","243.63","238.04","304.96M","0.90%"
"02/11/2024","240.14","241.56","242.70","232.40","376.32M","-0.34%"
"02/04/2024","240.95","236.96","241.23","234.99","351.48M","0.25%"
"01/28/2024","240.34","241.17","243.69","236.25","422.91M","-0.43%"
"01/21/2024","241.37","244.05","246.62","238.98","381.91M","-0.69%"
"01/14/2024","243.05","247.73","248.78","239.25","322.80M","-2.23%"
"01/07/2024","248.60","246.40","250.67","245.78","335.15M","0.64%"
"12/31/2023","247.01","250.32","253.78","244.80","262.24M","-1.57%"
"12/24/2023","250.96","249.41","254.02","249.38","216.53M","0.60%"
"12/17/2023","249.46","249.85","251.40","246.03","348.29M","0.25%"
"12/10/2023","248.84","235.97","253.74","235.63","547.46M","5.08%"
"12/03/2023","236.80","236.50","240.33","234.34","385.54M","-0.34%"
"11/26/2023","237.60","226.56","237.71","225.97","403.49M","4.85%"
"11/19/2023","226.62","224.10","227.50","222.39","193.12M","0.99%"
"11/12/2023","224.39","213.30","226.69","211.75","383.06M","4.43%"
"11/05/2023","214.88","219.11","219.52","212.24","344.51M","-2.29%"
"10/29/2023","219.92","204.09","223.22","200.70","495.30M","8.33%"
"10/22/2023","203.00","203.74","207.78","201.47","379.92M","-1.09%"
"10/15/2023","205.24","215.84","218.83","205.18","344.81M","-4.47%"
"10/08/2023","214.84","208.48","217.64","208.48","287.10M","2.49%"
"10/01/2023","209.62","212.91","213.83","204.25","350.64M","-1.79%"
"09/24/2023","213.43","215.81","216.60","209.90","353.19M","-1.59%"
"09/17/2023","216.87","229.41","229.61","216.62","291.55M","-5.54%"
"09/10/2023","229.60","228.92","230.92","225.85","346.24M","0.56%"
"09/03/2023","228.32","230.56","230.80","226.02","237.87M","-1.15%"
