"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2025","347.90","350.89","353.83","337.54","884.06M","-0.28%"
"02/23/2025","348.89","360.44","361.44","340.77","1.55B","-2.55%"
"02/16/2025","358.01","372.00","372.00","357.38","955.20M","-3.68%"
"02/09/2025","371.67","367.46","372.96","362.16","986.18M","1.99%"
"02/02/2025","364.43","366.87","378.37","363.54","1.32B","-2.12%"
"01/26/2025","372.33","353.61","376.12","353.61","1.32B","2.67%"
"01/19/2025","362.66","352.28","363.08","350.60","907.44M","4.02%"
"01/12/2025","348.66","341.37","350.54","336.95","987.23M","1.30%"
"01/05/2025","344.17","349.51","356.67","340.29","898.55M","-0.70%"
"12/29/2024","346.58","343.48","348.89","340.53","337.75M","-0.30%"
"12/22/2024","347.61","345.82","352.68","342.90","490.49M","0.92%"
"12/15/2024","344.45","355.65","360.63","339.26","1.55B","-2.15%"
"12/08/2024","352.03","343.06","359.35","338.33","1.29B","2.42%"
"12/01/2024","343.71","330.71","344.55","330.33","970.29M","4.11%"
"11/24/2024","330.15","326.08","330.91","324.08","804.21M","1.91%"
"11/17/2024","323.95","325.78","332.27","320.44","1.08B","-0.30%"
"11/10/2024","324.93","331.84","336.91","323.23","1.15B","-2.11%"
"11/03/2024","331.94","319.13","335.11","315.66","1.13B","3.72%"
"10/27/2024","320.03","319.54","332.52","314.84","1.20B","1.53%"
"10/20/2024","315.22","315.48","317.95","310.96","940.14M","-0.14%"
"10/13/2024","315.65","315.74","318.61","312.49","793.05M","0.35%"
"10/06/2024","314.56","319.33","320.31","310.82","754.87M","-1.39%"
"09/29/2024","318.99","311.99","319.24","311.50","826.02M","2.20%"
"09/22/2024","312.12","311.43","313.31","306.26","906.00M","1.02%"
"09/15/2024","308.98","298.53","309.33","296.97","1.31B","3.70%"
"09/08/2024","297.96","288.10","298.52","282.22","1.17B","4.27%"
"09/01/2024","285.76","299.40","300.01","285.45","246.76M","-5.05%"
"08/25/2024","300.95","304.07","304.79","297.10","204.69M","-0.70%"
"08/18/2024","303.07","303.70","306.63","300.62","150.93M","1.21%"
"08/11/2024","299.46","297.09","301.00","293.45","189.54M","1.00%"
"08/04/2024","296.49","277.46","296.71","277.46","201.32M","0.79%"
"07/28/2024","294.18","292.94","307.69","290.69","270.34M","1.26%"
"07/21/2024","290.52","305.66","307.04","287.13","1.30B","-3.76%"
"07/14/2024","301.87","310.84","315.19","300.79","1.10B","-2.88%"
"07/07/2024","310.81","322.02","322.32","310.10","939.84M","-3.57%"
"06/30/2024","322.31","311.29","322.63","307.91","695.71M","3.91%"
"06/23/2024","310.19","307.69","316.15","305.86","1.06B","1.26%"
"06/16/2024","306.32","302.44","307.21","301.03","1.09B","0.77%"
"06/09/2024","303.99","301.74","308.71","299.97","978.34M","0.88%"
"06/02/2024","301.34","297.10","305.52","294.77","934.01M","1.73%"
"05/26/2024","296.23","297.13","299.62","290.68","937.32M","-0.60%"
"05/19/2024","298.03","296.99","299.77","292.92","893.22M","0.25%"
"05/12/2024","297.29","288.59","297.41","287.50","1.01B","1.70%"
"05/05/2024","292.33","287.47","293.17","286.62","1.11B","2.02%"
"04/28/2024","286.53","285.33","286.78","277.90","1.35B","-0.55%"
"04/21/2024","288.11","282.60","288.97","267.45","1.40B","2.72%"
"04/14/2024","280.48","292.37","292.42","278.41","1.12B","-3.23%"
"04/07/2024","289.83","291.90","294.69","288.31","1.12B","-0.50%"
"03/31/2024","291.30","283.93","294.29","283.26","1.22B","2.47%"
"03/24/2024","284.29","285.25","287.99","282.80","801.31M","-0.75%"
"03/17/2024","286.45","281.04","286.93","277.90","1.14B","4.78%"
"03/10/2024","273.37","271.57","277.16","269.97","1.42B","0.46%"
"03/03/2024","272.12","272.92","276.59","266.19","1.29B","-0.65%"
"02/25/2024","273.90","273.06","275.28","268.54","1.27B","-0.31%"
"02/18/2024","274.75","269.04","276.72","268.37","921.24M","1.48%"
"02/11/2024","270.73","274.64","277.87","269.36","1.10B","-1.61%"
"02/04/2024","275.17","271.57","275.86","268.93","1.36B","1.02%"
"01/28/2024","272.38","267.98","273.57","257.65","1.51B","1.63%"
"01/21/2024","268.00","258.23","268.90","256.39","1.25B","4.52%"
"01/14/2024","256.42","250.64","256.45","245.82","888.86M","1.95%"
"01/07/2024","251.52","244.24","253.17","243.66","1.05B","3.44%"
"12/31/2023","243.15","244.56","245.51","241.51","862.76M","-1.16%"
"12/24/2023","246.00","247.41","248.28","244.71","646.51M","-0.40%"
"12/17/2023","247.00","237.96","248.54","237.79","1.13B","4.10%"
"12/10/2023","237.27","235.34","238.67","233.26","1.60B","-0.10%"
"12/03/2023","237.50","230.96","239.53","229.15","1.25B","1.40%"
"11/26/2023","234.23","239.28","241.19","232.27","1.13B","-2.49%"
"11/19/2023","240.22","236.12","242.89","236.08","629.39M","1.25%"
"11/12/2023","237.25","230.91","238.43","230.16","1.06B","2.31%"
"11/05/2023","231.90","227.03","232.01","226.12","1.20B","2.21%"
"10/29/2023","226.89","214.80","227.39","214.76","1.27B","6.54%"
"10/22/2023","212.97","227.26","233.32","211.26","1.55B","-6.29%"
"10/15/2023","227.26","228.50","233.51","226.94","1.18B","-0.54%"
"10/08/2023","228.50","228.99","235.17","226.96","1.05B","-0.21%"
"10/01/2023","228.99","222.21","229.50","221.64","1.14B","3.05%"
"09/24/2023","222.21","222.24","226.36","217.97","1.07B","-0.01%"
"09/17/2023","222.24","229.65","231.14","222.16","1.07B","-3.23%"
"09/10/2023","229.65","228.40","232.72","227.32","1.35B","0.55%"
"09/03/2023","228.39","228.48","229.64","225.50","917.53M","-0.04%"
"08/27/2023","228.48","220.84","231.56","220.84","1.10B","3.46%"
"08/20/2023","220.84","218.70","226.88","216.83","1.01B","0.98%"
"08/13/2023","218.70","224.86","227.21","216.51","1.02B","-2.74%"
"08/06/2023","224.86","224.13","228.97","223.61","1.15B","0.33%"
"07/30/2023","224.13","230.71","231.92","223.86","1.23B","-2.85%"
"07/23/2023","230.71","215.92","231.93","215.92","1.55B","6.85%"
