"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2025","391.78","399.30","403.00","388.63","504.11M","-2.19%"
"02/23/2025","400.57","407.64","407.71","394.86","936.92M","-1.49%"
"02/16/2025","406.63","402.38","407.97","401.29","603.22M","1.39%"
"02/09/2025","401.05","397.58","405.90","395.67","702.53M","1.05%"
"02/02/2025","396.89","390.42","401.05","389.99","659.67M","0.24%"
"01/26/2025","395.93","394.80","398.90","385.50","911.67M","-2.05%"
"01/19/2025","404.23","404.90","409.00","397.96","586.27M","0.87%"
"01/12/2025","400.76","383.56","402.65","375.84","815.53M","4.27%"
"01/05/2025","384.36","391.11","391.69","379.99","611.98M","-1.96%"
"12/29/2024","392.03","387.76","394.12","385.19","186.07M","1.32%"
"12/22/2024","386.91","384.42","389.22","380.92","258.18M","0.38%"
"12/15/2024","385.43","391.69","392.96","377.70","778.98M","-1.62%"
"12/08/2024","391.79","402.22","402.69","391.17","537.48M","-2.70%"
"12/01/2024","402.66","418.89","418.95","401.72","668.99M","-3.84%"
"11/24/2024","418.72","414.32","421.57","409.39","435.97M","1.69%"
"11/17/2024","411.75","400.68","415.85","400.31","578.01M","2.56%"
"11/10/2024","401.46","401.78","405.06","395.01","622.77M","0.00%"
"11/03/2024","401.48","392.27","402.47","389.80","791.54M","1.19%"
"10/27/2024","396.74","410.03","413.18","396.34","600.74M","-2.81%"
"10/20/2024","408.22","417.34","418.36","407.95","439.62M","-1.91%"
"10/13/2024","416.16","403.02","418.88","402.62","505.80M","3.42%"
"10/06/2024","402.39","411.38","411.87","396.55","519.98M","-2.57%"
"09/29/2024","413.01","409.65","416.79","405.79","542.36M","1.09%"
"09/22/2024","408.55","406.76","410.41","403.40","550.92M","1.03%"
"09/15/2024","404.37","398.41","405.06","390.65","733.29M","1.98%"
"09/08/2024","396.53","384.68","396.61","382.90","559.00M","3.38%"
"09/01/2024","383.58","385.40","391.01","383.53","108.29M","-0.50%"
"08/25/2024","385.51","383.11","385.98","378.58","114.66M","1.01%"
"08/18/2024","381.64","379.28","383.33","377.96","85.50M","1.21%"
"08/11/2024","377.07","373.25","378.25","371.34","107.54M","0.97%"
"08/04/2024","373.46","377.55","378.17","366.57","97.65M","-0.94%"
"07/28/2024","377.01","362.48","383.51","359.99","167.09M","4.29%"
"07/21/2024","361.49","357.91","364.55","356.50","505.16M","1.47%"
"07/14/2024","356.24","358.58","360.65","352.59","547.22M","-1.56%"
"07/07/2024","361.87","347.99","364.33","347.25","486.26M","3.90%"
"06/30/2024","348.28","349.20","350.42","343.50","340.00M","0.56%"
"06/23/2024","346.33","350.10","355.62","344.57","619.82M","-1.07%"
"06/16/2024","350.06","350.62","353.63","345.66","583.09M","-0.77%"
"06/09/2024","352.79","352.90","359.55","350.06","542.26M","-0.07%"
"06/02/2024","353.03","366.70","366.70","352.89","525.31M","-3.93%"
"05/26/2024","367.47","361.91","367.83","355.16","517.04M","1.62%"
"05/19/2024","361.60","366.48","368.68","357.85","502.22M","-1.16%"
"05/12/2024","365.85","362.35","369.01","360.11","554.01M","1.24%"
"05/05/2024","361.36","348.31","364.26","346.04","628.78M","4.03%"
"04/28/2024","347.36","338.70","348.21","336.49","565.05M","3.35%"
"04/21/2024","336.09","332.17","341.20","330.18","510.62M","1.18%"
"04/14/2024","332.18","328.25","332.92","317.66","523.21M","1.87%"
"04/07/2024","326.08","331.35","335.45","324.56","485.10M","-1.49%"
"03/31/2024","331.02","333.20","333.98","326.23","505.04M","-0.74%"
"03/24/2024","333.49","325.35","333.91","321.96","464.57M","2.82%"
"03/17/2024","324.34","319.80","327.48","318.39","592.17M","1.45%"
"03/10/2024","319.70","321.39","324.93","317.17","728.70M","-0.53%"
"03/03/2024","321.41","310.07","322.80","310.07","660.43M","3.19%"
"02/25/2024","311.46","311.48","316.10","306.30","718.82M","-0.63%"
"02/18/2024","313.42","309.73","314.86","308.90","484.52M","1.15%"
"02/11/2024","309.85","305.71","311.21","299.76","591.19M","1.35%"
"02/04/2024","305.72","309.08","309.35","301.89","574.50M","-2.08%"
"01/28/2024","312.21","311.15","317.99","309.43","619.69M","0.36%"
"01/21/2024","311.10","309.73","312.14","304.17","607.36M","0.42%"
"01/14/2024","309.79","320.26","320.99","307.90","466.54M","-3.70%"
"01/07/2024","321.70","327.13","330.34","318.92","473.58M","-1.87%"
"12/31/2023","327.84","320.62","329.74","319.89","433.42M","1.84%"
"12/24/2023","321.92","317.86","322.62","317.86","276.03M","1.14%"
"12/17/2023","318.28","322.87","324.80","315.06","587.94M","-1.27%"
"12/10/2023","322.36","318.22","336.16","317.84","912.81M","0.88%"
"12/03/2023","319.56","318.13","322.47","315.55","573.04M","-0.30%"
"11/26/2023","320.51","316.77","320.51","313.95","760.72M","1.27%"
"11/19/2023","316.50","313.23","316.50","309.73","354.58M","0.55%"
"11/12/2023","314.76","304.82","317.33","301.49","630.72M","2.97%"
"11/05/2023","305.68","314.45","315.30","303.81","595.97M","-2.60%"
"10/29/2023","313.83","299.55","317.72","297.11","683.21M","5.22%"
"10/22/2023","298.27","291.25","306.51","289.75","630.78M","1.24%"
"10/15/2023","294.62","301.54","305.26","294.58","577.40M","-2.12%"
"10/08/2023","301.00","290.18","302.92","288.91","617.63M","3.61%"
"10/01/2023","290.51","296.82","297.01","278.06","920.78M","-2.90%"
"09/24/2023","299.20","319.74","321.35","297.50","621.85M","-6.99%"
"09/17/2023","321.67","327.72","329.10","319.50","480.86M","-1.73%"
"09/10/2023","327.33","318.49","330.78","317.84","703.40M","2.67%"
"09/03/2023","318.83","315.50","319.26","309.57","415.20M","0.86%"
"08/27/2023","316.10","322.50","323.94","313.63","419.88M","-1.73%"
"08/20/2023","321.65","320.44","324.91","316.42","392.54M","0.26%"
"08/13/2023","320.80","326.79","326.86","318.91","445.14M","-2.01%"
"08/06/2023","327.38","325.85","329.94","321.70","463.80M","0.84%"
"07/30/2023","324.65","341.73","343.15","323.35","534.98M","-4.66%"
"07/23/2023","340.51","348.06","351.30","338.83","435.52M","-2.10%"
"07/16/2023","347.80","338.82","349.12","330.19","490.06M","2.40%"
"07/09/2023","339.66","331.32","341.10","328.16","428.60M","2.26%"
"07/02/2023","332.14","331.27","341.28","330.75","350.93M","-0.20%"
"06/25/2023","332.80","331.26","335.05","325.76","512.40M","0.69%"
"06/18/2023","330.51","338.93","339.79","330.18","421.91M","-2.59%"
"06/11/2023","339.29","335.96","342.06","331.85","565.80M","1.29%"
"06/04/2023","334.98","329.49","337.40","328.26","508.58M","1.91%"
"05/28/2023","328.70","326.58","329.91","322.99","542.38M","0.79%"
"05/21/2023","326.13","335.33","336.73","322.96","488.76M","-2.40%"
"05/14/2023","334.15","350.72","351.13","331.89","512.90M","-4.36%"
"05/07/2023","349.38","349.82","352.69","346.19","471.49M","-0.30%"
"04/30/2023","350.42","349.59","354.27","342.96","506.81M","0.05%"
"04/23/2023","350.26","353.76","357.07","346.45","404.75M","-0.99%"
"04/16/2023","353.78","350.84","356.05","348.45","363.69M","1.09%"
"04/09/2023","349.97","352.75","356.46","347.30","436.60M","-1.34%"
"04/02/2023","354.72","342.19","355.27","339.70","364.08M","3.11%"
"03/26/2023","344.01","335.18","344.05","333.33","453.30M","3.05%"
"03/19/2023","333.82","339.04","341.59","322.13","516.36M","-1.20%"
"03/12/2023","337.87","324.89","343.24","324.45","718.71M","3.90%"
"03/05/2023","325.20","334.62","337.39","323.64","474.45M","-2.88%"
"02/26/2023","334.84","338.35","341.67","321.65","588.65M","-0.69%"
"02/19/2023","337.17","344.24","344.69","332.83","410.31M","-2.79%"
"02/12/2023","346.85","344.18","348.33","339.75","434.83M","0.90%"
"02/05/2023","343.74","343.97","348.85","336.49","448.76M","-0.38%"
"01/29/2023","345.05","349.13","356.34","340.59","567.68M","-1.49%"
"01/22/2023","350.27","350.68","355.45","345.52","437.56M","-0.49%"
"01/15/2023","351.99","363.16","365.52","345.00","369.51M","-2.93%"
"01/08/2023","362.63","360.12","367.17","359.37","475.94M","0.45%"
"01/01/2023","361.00","359.25","364.86","352.81","366.20M","0.70%"
"12/25/2022","358.48","361.23","365.12","355.16","229.04M","-0.64%"
"12/18/2022","360.80","355.20","360.93","351.22","367.32M","1.42%"
"12/11/2022","355.76","360.64","372.55","351.38","696.66M","-0.55%"
"12/04/2022","357.73","356.17","361.68","355.00","520.08M","-0.32%"
"11/27/2022","358.89","356.20","366.10","350.27","528.02M","0.06%"
"11/20/2022","358.67","348.18","359.62","347.53","280.40M","3.04%"
"11/13/2022","348.10","345.09","349.42","339.67","523.11M","0.83%"
"11/06/2022","345.24","339.78","349.75","328.74","580.50M","1.39%"
"10/30/2022","340.51","341.70","346.21","332.16","546.28M","-0.55%"
"10/23/2022","342.40","324.23","343.05","320.82","542.96M","6.48%"
"10/16/2022","321.57","319.54","329.81","314.27","514.58M","1.95%"
"10/09/2022","315.42","325.17","328.05","306.73","633.53M","-2.58%"
"10/02/2022","323.77","338.49","350.08","321.67","777.81M","-2.63%"
"09/25/2022","332.52","363.56","364.16","332.05","493.16M","-8.81%"
"09/18/2022","364.66","375.06","381.17","360.10","342.82M","-3.05%"
"09/11/2022","376.13","392.20","395.23","375.56","475.62M","-3.82%"
"09/04/2022","391.06","379.28","393.25","377.13","294.68M","3.68%"
"08/28/2022","377.17","381.60","386.88","374.93","325.18M","-1.57%"
"08/21/2022","383.18","391.31","392.20","382.94","284.66M","-2.60%"
"08/14/2022","393.39","388.80","395.11","387.30","307.35M","1.23%"
"08/07/2022","388.62","379.97","388.67","375.72","354.06M","3.06%"
"07/31/2022","377.08","375.12","381.04","368.95","407.62M","0.38%"
"07/24/2022","375.65","352.14","377.25","351.38","386.19M","6.46%"
"07/17/2022","352.85","353.83","354.16","344.89","367.10M","-0.45%"
"07/10/2022","354.46","354.02","359.74","347.28","327.01M","-0.10%"
"07/03/2022","354.81","363.86","364.53","347.24","296.02M","-2.87%"
"06/26/2022","365.29","349.84","365.77","349.08","378.67M","4.11%"
"06/19/2022","350.86","328.11","351.55","327.80","374.54M","7.24%"
"06/12/2022","327.17","355.75","356.23","324.52","632.91M","-9.17%"
"06/05/2022","360.20","377.05","380.20","357.33","378.43M","-4.13%"
"05/29/2022","375.72","377.95","378.83","369.14","371.68M","-1.38%"
"05/22/2022","380.97","366.27","381.00","363.60","396.25M","5.00%"
"05/15/2022","362.82","362.01","367.60","356.83","431.16M","0.36%"
"05/08/2022","361.51","364.08","368.91","353.84","492.86M","-1.33%"
"05/01/2022","366.37","363.34","368.07","353.65","485.68M","1.24%"
"04/24/2022","361.88","378.08","378.38","361.33","474.75M","-4.10%"
"04/17/2022","377.35","387.29","392.03","377.01","395.86M","-2.36%"
"04/10/2022","386.48","391.33","391.70","383.36","315.47M","-1.14%"
"04/03/2022","390.94","381.85","392.38","376.78","428.32M","1.91%"
"03/27/2022","383.62","369.99","383.80","367.98","396.09M","3.71%"
"03/20/2022","369.89","357.73","369.92","357.57","381.30M","3.45%"
"03/13/2022","357.55","357.80","363.19","353.43","543.08M","0.52%"
"03/06/2022","355.70","358.95","365.69","351.88","497.74M","-0.75%"
"02/27/2022","358.37","340.13","358.57","338.07","539.96M","4.78%"
"02/20/2022","342.03","335.73","342.41","325.41","452.71M","2.03%"
"02/13/2022","335.21","340.77","341.63","332.07","508.42M","-1.42%"
"02/06/2022","340.04","347.62","350.66","338.72","459.25M","-2.26%"
"01/30/2022","347.90","343.22","352.75","342.84","591.21M","0.76%"
"01/23/2022","345.28","349.04","350.51","336.48","572.19M","-1.36%"
"01/16/2022","350.05","350.15","355.57","345.85","352.51M","-0.79%"
